scorer,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
38,129.973,323.024,1.0,120.878,426.785,0.9990000128746033,107.044,530.767,1.0,103.263,650.256,1.0,95.883,777.125,1.0,90.303,898.968,1.0,91.596,1019.107,0.9990000128746033,91.238,1125.429,1.0,94.517,1252.011,1.0,100.037,1365.494,0.9990000128746033,106.338,1451.393,0.9990000128746033
39,129.869,323.218,1.0,120.859,426.925,0.9990000128746033,107.05,530.894,1.0,103.277,650.282,1.0,95.89,777.299,1.0,90.242,898.081,0.9990000128746033,91.583,1019.227,0.9990000128746033,91.256,1125.29,1.0,94.44,1252.099,1.0,99.956,1365.582,0.9990000128746033,106.154,1451.088,0.9990000128746033
40,129.194,321.432,1.0,120.7,426.766,0.9990000128746033,106.981,529.99,1.0,103.503,649.895,1.0,96.186,777.176,1.0,90.234,897.655,1.0,91.582,1019.457,0.9990000128746033,91.021,1125.047,1.0,94.54,1252.381,1.0,100.381,1365.194,0.9990000128746033,106.079,1450.849,0.9990000128746033
41,130.223,317.578,1.0,120.606,426.594,0.9990000128746033,107.165,529.368,1.0,103.709,650.216,1.0,96.222,777.285,1.0,90.225,897.677,1.0,91.576,1019.446,0.9990000128746033,91.132,1125.148,1.0,94.653,1252.342,1.0,100.216,1364.597,0.9980000257492065,106.248,1450.998,0.9990000128746033
42,130.186,317.438,1.0,118.549,423.457,1.0,106.637,527.657,1.0,103.721,650.417,1.0,96.236,777.642,1.0,90.591,898.371,0.9990000128746033,91.496,1019.377,0.9990000128746033,90.904,1125.065,1.0,94.432,1251.631,1.0,100.3,1365.035,0.9990000128746033,106.221,1450.964,0.9990000128746033
43,129.861,317.463,1.0,118.567,423.689,1.0,106.827,528.739,1.0,103.688,650.45,1.0,96.21,777.457,1.0,90.641,899.053,0.9990000128746033,91.519,1019.372,0.9990000128746033,90.864,1125.416,1.0,94.457,1251.678,1.0,100.517,1364.839,0.9990000128746033,106.073,1450.619,0.9990000128746033
44,129.675,317.753,1.0,120.919,426.232,0.9990000128746033,106.962,529.865,1.0,103.927,650.45,1.0,96.187,777.48,1.0,90.621,898.916,0.9990000128746033,91.559,1019.386,0.9990000128746033,90.858,1125.421,1.0,94.419,1251.822,1.0,100.5,1364.936,0.9990000128746033,106.098,1450.71,0.9990000128746033
45,132.02,317.308,1.0,122.021,425.658,1.0,106.824,530.755,1.0,103.56,650.561,1.0,96.169,777.512,1.0,90.679,899.008,0.9990000128746033,91.502,1019.295,0.9980000257492065,90.88,1125.476,1.0,94.466,1251.868,1.0,100.496,1365.08,0.9990000128746033,106.064,1450.713,0.9990000128746033
46,131.539,317.041,1.0,121.464,426.291,1.0,106.825,530.302,1.0,103.43,650.503,1.0,96.115,777.511,1.0,90.585,899.27,0.9990000128746033,91.474,1019.18,0.9980000257492065,90.835,1125.203,1.0,94.544,1251.899,1.0,100.684,1364.783,1.0,106.01,1450.645,0.9990000128746033
47,130.788,317.418,1.0,121.531,426.255,1.0,106.885,530.463,1.0,103.459,650.739,1.0,96.142,777.406,1.0,90.62,899.158,0.9990000128746033,91.529,1019.286,0.9980000257492065,90.95,1125.043,1.0,94.321,1251.129,1.0,100.735,1364.423,0.9990000128746033,106.035,1450.661,0.9990000128746033
