scorer,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
4753,185.448,48.569,1.0,186.112,59.374,1.0,186.448,71.89,1.0,184.079,87.05,1.0,169.16,102.635,1.0,151.453,106.94,1.0,128.424,102.734,1.0,114.106,89.058,1.0,104.989,72.281,1.0,109.837,48.921,1.0,120.646,30.529,1.0,134.549,24.53,1.0
4754,185.375,48.578,1.0,186.033,59.398,1.0,186.371,72.038,1.0,183.748,87.31,1.0,168.982,102.86,1.0,151.163,106.775,1.0,128.622,102.686,1.0,114.073,89.138,1.0,104.874,72.395,1.0,109.863,48.928,1.0,120.724,30.346,1.0,134.886,24.576,1.0
4755,185.437,48.451,1.0,186.129,59.328,1.0,186.504,71.89,1.0,184.074,87.397,1.0,169.11,102.997,1.0,151.414,106.863,1.0,128.784,103.177,1.0,114.088,89.339,1.0,105.157,72.299,1.0,109.94,49.222,1.0,120.803,31.212,1.0,135.352,25.152,1.0
4756,185.516,48.503,1.0,186.213,59.419,1.0,186.453,72.023,1.0,184.309,87.082,1.0,169.414,103.395,1.0,151.537,106.978,1.0,128.932,103.278,1.0,114.014,89.343,1.0,104.926,72.299,1.0,109.485,49.166,1.0,119.871,30.982,1.0,134.915,24.684,1.0
4757,185.505,48.48,1.0,186.155,59.413,1.0,186.384,72.175,1.0,184.204,87.482,1.0,169.136,103.802,1.0,151.421,107.219,1.0,128.875,103.378,1.0,113.793,89.612,1.0,104.896,72.423,1.0,109.412,49.298,1.0,119.839,30.897,1.0,134.838,24.68,1.0
4758,185.604,48.552,1.0,186.198,59.523,1.0,186.548,72.384,1.0,184.18,87.718,1.0,169.172,104.155,1.0,151.334,107.27,1.0,128.942,103.445,1.0,113.831,89.584,1.0,104.941,72.413,1.0,109.629,49.288,1.0,119.936,30.692,1.0,134.815,24.638,1.0
4759,185.633,48.631,1.0,186.194,59.534,1.0,186.528,72.448,1.0,184.111,87.785,1.0,169.041,104.207,1.0,151.308,107.219,1.0,128.9,103.374,1.0,113.892,89.589,1.0,104.93,72.58,1.0,109.777,49.201,1.0,120.049,30.519,1.0,134.72,24.478,1.0
4760,185.533,48.614,1.0,186.143,59.468,1.0,186.502,72.381,1.0,184.111,87.828,1.0,169.071,104.313,1.0,151.284,107.242,1.0,128.779,103.42,1.0,113.824,89.608,1.0,104.874,72.438,1.0,109.628,49.221,1.0,120.21,30.215,1.0,134.788,24.414,1.0
4761,185.487,48.51,1.0,186.112,59.365,1.0,186.582,72.428,1.0,184.004,87.794,1.0,169.056,104.028,1.0,151.208,107.235,1.0,128.66,103.042,1.0,113.872,89.397,1.0,104.981,72.134,1.0,109.793,49.209,1.0,120.127,30.498,1.0,134.924,24.521,1.0
4762,185.516,48.537,1.0,186.156,59.38,1.0,186.563,72.404,1.0,183.971,87.948,1.0,168.97,104.042,1.0,151.144,107.328,1.0,128.312,103.032,1.0,113.559,89.267,1.0,105.128,71.938,1.0,110.053,49.208,1.0,120.326,30.853,1.0,135.269,24.627,1.0
4763,185.369,48.438,1.0,186.021,59.227,1.0,186.537,72.308,1.0,183.782,87.99,1.0,168.93,103.96,1.0,151.234,107.264,1.0,128.583,103.077,1.0,113.551,89.359,1.0,104.945,71.958,1.0,109.765,49.03,1.0,119.846,30.545,1.0,134.804,24.421,1.0
4764,185.487,48.841,1.0,185.992,59.465,1.0,186.06,72.102,1.0,183.696,87.604,1.0,168.806,102.85,1.0,151.569,106.793,1.0,128.642,103.178,1.0,113.729,89.405,1.0,105.496,72.807,1.0,110.626,49.063,1.0,121.423,29.823,1.0,135.981,24.115,1.0
4765,185.529,48.75,1.0,186.09,59.486,1.0,186.249,72.336,1.0,183.97,87.579,1.0,169.023,103.567,1.0,151.335,107.153,1.0,128.341,103.336,1.0,113.634,89.515,1.0,105.139,72.746,1.0,110.455,48.77,1.0,120.848,29.931,1.0,135.861,24.041,1.0
4766,185.408,48.808,1.0,186.015,59.493,1.0,186.124,72.252,1.0,183.99,87.538,1.0,168.993,103.762,1.0,151.522,107.227,1.0,128.259,103.402,1.0,113.629,89.654,1.0,105.325,72.459,1.0,110.271,48.907,1.0,120.843,29.545,1.0,135.719,23.942,1.0
4767,185.364,48.996,1.0,185.868,59.548,1.0,185.957,72.251,1.0,184.097,87.065,1.0,169.322,103.926,1.0,151.542,107.213,1.0,128.158,103.326,1.0,113.457,89.382,1.0,105.064,72.648,1.0,110.351,48.643,1.0,121.496,33.691,1.0,136.154,23.842,1.0
4768,185.44,48.804,1.0,185.931,59.338,1.0,186.122,72.004,1.0,184.227,86.866,1.0,169.319,103.794,1.0,151.796,107.078,1.0,128.22,103.094,1.0,113.579,89.09,1.0,104.981,72.568,1.0,110.151,48.851,1.0,120.994,29.831,1.0,135.84,24.126,1.0
4769,185.437,48.746,1.0,185.896,59.185,1.0,186.006,71.98,1.0,183.842,87.199,1.0,169.022,103.725,1.0,151.495,107.224,1.0,128.088,103.245,1.0,113.402,89.46,1.0,105.099,72.448,1.0,109.616,49.284,1.0,120.888,29.82,1.0,135.564,24.393,1.0
4770,185.404,48.778,1.0,185.873,59.196,1.0,186.035,71.795,1.0,183.922,86.981,1.0,169.117,103.632,1.0,151.74,107.153,1.0,128.313,103.156,1.0,113.754,89.391,1.0,105.004,72.735,1.0,109.939,49.026,1.0,121.007,29.804,1.0,135.727,24.131,1.0
4771,185.479,48.792,1.0,186.036,59.185,1.0,186.121,71.651,1.0,184.047,86.903,1.0,169.309,103.459,1.0,151.864,107.018,1.0,128.444,103.092,1.0,113.853,89.073,1.0,105.152,72.419,1.0,110.233,48.474,1.0,121.211,29.939,1.0,135.987,24.321,1.0
4772,185.495,48.69,1.0,186.081,59.065,1.0,186.105,71.595,1.0,183.951,87.177,1.0,169.17,103.567,1.0,151.605,107.01,1.0,128.492,103.228,1.0,113.783,88.907,1.0,105.162,72.244,1.0,109.86,48.609,1.0,121.245,29.581,1.0,135.778,24.264,1.0
4773,185.481,48.723,1.0,186.049,59.099,1.0,186.152,71.64,1.0,183.986,86.99,1.0,169.514,103.38,1.0,152.023,106.913,1.0,128.508,103.277,1.0,113.901,89.316,1.0,105.337,72.308,1.0,109.968,48.427,1.0,120.887,29.693,1.0,135.899,24.248,1.0
4774,185.531,48.719,1.0,186.088,59.15,1.0,186.184,71.732,1.0,183.909,87.202,1.0,169.15,103.339,1.0,151.69,106.773,1.0,128.344,103.202,1.0,113.825,89.237,1.0,105.346,72.268,1.0,110.056,48.621,1.0,120.917,29.703,1.0,135.967,24.337,1.0
4775,185.499,48.739,1.0,186.06,59.129,1.0,186.124,71.886,1.0,184.019,87.382,1.0,169.123,103.428,1.0,151.632,106.693,1.0,128.206,103.149,1.0,113.778,88.935,1.0,105.294,71.857,1.0,110.077,48.674,1.0,120.802,29.885,1.0,135.693,24.274,1.0
4776,185.81,48.705,1.0,186.427,59.49,1.0,186.282,72.236,1.0,184.364,88.12,1.0,169.342,104.459,1.0,151.113,107.173,1.0,127.874,103.187,1.0,113.466,88.854,1.0,104.844,72.19,1.0,110.65,49.174,1.0,121.143,31.06,1.0,136.114,24.896,1.0
4777,185.728,48.607,1.0,186.436,59.378,1.0,186.378,72.0,1.0,184.321,88.151,1.0,169.276,104.438,1.0,151.202,107.158,1.0,127.876,103.04,1.0,113.321,88.826,1.0,104.619,72.416,1.0,110.608,48.682,1.0,121.174,30.861,1.0,136.173,24.773,1.0
4778,185.654,48.63,1.0,186.295,59.445,1.0,186.365,72.125,1.0,184.181,88.042,1.0,169.227,104.489,1.0,151.202,107.466,1.0,128.171,103.269,1.0,113.559,89.2,1.0,104.831,72.546,1.0,110.758,48.942,1.0,121.224,30.847,1.0,136.38,24.874,1.0
4779,185.543,48.801,1.0,186.154,59.658,1.0,186.255,72.471,1.0,184.161,87.591,1.0,169.356,104.348,1.0,151.138,107.22,1.0,128.156,103.012,1.0,113.396,88.982,1.0,104.796,72.13,1.0,110.456,48.924,1.0,121.036,29.925,1.0,135.936,24.51,1.0
4780,185.605,48.792,1.0,186.205,59.571,1.0,186.249,72.515,1.0,184.135,87.664,1.0,169.419,104.305,1.0,151.183,107.335,1.0,128.156,103.067,1.0,113.35,88.911,1.0,104.937,72.152,1.0,110.746,48.828,1.0,121.312,29.883,1.0,135.945,24.462,1.0
4781,185.59,48.722,1.0,186.199,59.537,1.0,186.267,72.505,1.0,184.087,87.83,1.0,169.295,104.44,1.0,150.931,107.188,1.0,128.065,102.916,1.0,113.511,88.341,1.0,105.126,71.692,1.0,110.745,48.545,1.0,121.481,29.866,1.0,136.169,24.36,1.0
4782,185.634,48.853,1.0,186.198,59.693,1.0,186.192,72.693,1.0,183.952,87.942,1.0,169.054,104.441,1.0,150.555,107.218,1.0,127.747,102.898,1.0,113.356,88.222,1.0,105.065,71.625,1.0,110.732,48.309,1.0,121.409,33.538,1.0,134.596,22.79,1.0
4783,185.583,48.745,1.0,186.192,59.41,1.0,186.121,72.426,1.0,183.806,87.923,1.0,169.047,104.15,1.0,150.658,107.27,1.0,127.8,103.09,1.0,113.46,88.612,1.0,104.994,71.843,1.0,111.104,47.978,1.0,121.379,29.513,1.0,135.952,24.258,1.0
4784,185.636,48.688,1.0,186.251,59.421,1.0,186.214,72.509,1.0,183.726,88.048,1.0,168.781,104.021,1.0,150.706,107.131,1.0,127.81,103.025,1.0,113.527,88.565,1.0,105.167,72.029,1.0,111.066,48.016,1.0,121.559,29.563,1.0,136.013,24.28,1.0
4785,185.676,48.729,1.0,186.329,59.375,1.0,186.28,72.284,1.0,183.799,87.888,1.0,168.665,104.186,1.0,150.803,107.051,1.0,127.608,102.919,1.0,113.354,88.313,1.0,105.109,71.821,1.0,110.965,47.834,1.0,121.41,33.432,1.0,136.059,24.05,1.0
4786,185.675,48.882,1.0,186.244,59.6,1.0,186.256,72.607,1.0,183.887,88.078,1.0,168.889,104.31,1.0,150.829,107.002,1.0,128.047,103.017,1.0,113.578,88.496,1.0,105.172,71.964,1.0,110.976,48.124,1.0,121.549,33.291,1.0,134.901,22.894,1.0
4787,185.667,48.835,1.0,186.266,59.55,1.0,186.333,72.494,1.0,183.962,87.917,1.0,168.867,104.116,1.0,150.886,106.936,1.0,128.083,103.009,1.0,113.694,88.519,1.0,105.121,72.111,1.0,110.842,48.385,1.0,121.352,33.491,1.0,135.775,24.24,1.0
4788,185.628,48.938,1.0,185.926,59.866,1.0,186.398,72.975,1.0,184.1,87.48,1.0,169.007,103.335,1.0,151.192,106.776,1.0,127.825,102.821,1.0,113.313,88.528,1.0,105.17,71.95,1.0,110.59,48.493,1.0,120.93,29.992,1.0,135.367,24.015,1.0
4789,185.606,49.034,1.0,185.954,59.827,1.0,186.464,72.817,1.0,184.087,87.763,1.0,168.802,103.62,1.0,151.419,107.008,1.0,128.241,102.823,1.0,113.529,88.625,1.0,105.444,71.942,1.0,110.936,48.303,1.0,121.383,33.187,1.0,134.918,22.99,1.0
4790,185.662,49.086,1.0,186.015,59.911,1.0,186.351,73.153,1.0,183.862,88.195,1.0,168.483,103.485,1.0,151.094,106.977,1.0,128.026,102.643,1.0,113.802,88.414,1.0,105.406,71.779,1.0,110.926,48.338,1.0,121.181,33.612,1.0,135.704,24.031,1.0
4791,185.435,48.768,1.0,185.892,59.638,1.0,186.264,72.772,1.0,183.43,87.852,1.0,168.443,103.031,1.0,151.101,106.946,1.0,128.333,102.546,1.0,113.781,88.549,1.0,105.362,71.908,1.0,110.266,48.306,1.0,120.911,29.911,1.0,134.764,23.989,1.0
4792,185.527,48.863,1.0,186.053,59.676,1.0,186.236,72.771,1.0,183.6,88.225,1.0,168.47,103.489,1.0,151.292,106.997,1.0,128.313,102.652,1.0,113.643,88.56,1.0,105.466,71.706,1.0,110.54,48.569,1.0,121.357,33.661,1.0,135.806,24.107,1.0
4793,185.516,48.897,1.0,186.047,59.717,1.0,186.259,72.853,1.0,183.546,88.003,1.0,168.507,103.222,1.0,151.103,106.805,1.0,128.223,102.437,1.0,113.751,88.305,1.0,105.351,71.561,1.0,110.479,48.336,1.0,121.15,33.36,1.0,135.685,24.03,1.0
4794,185.493,48.855,1.0,185.999,59.685,1.0,186.24,72.795,1.0,183.594,87.715,1.0,168.538,103.148,1.0,151.045,106.716,1.0,128.241,102.297,1.0,113.849,88.043,1.0,105.308,71.363,1.0,110.334,48.246,1.0,120.908,33.24,1.0,135.577,23.624,1.0
4795,185.477,48.818,1.0,185.997,59.667,1.0,186.25,72.833,1.0,183.651,87.805,1.0,168.539,103.19,1.0,150.756,106.899,1.0,128.05,102.373,1.0,114.027,88.15,1.0,105.313,71.611,1.0,110.343,48.148,1.0,120.919,33.327,1.0,135.572,23.66,1.0
4796,185.552,48.863,1.0,186.066,59.622,1.0,186.429,72.527,1.0,183.863,87.63,1.0,168.736,103.191,1.0,150.982,106.83,1.0,128.051,102.474,1.0,113.729,88.094,1.0,105.191,71.545,1.0,110.432,48.079,1.0,121.194,33.214,1.0,135.68,24.042,1.0
4797,185.511,48.779,1.0,186.077,59.548,1.0,186.361,72.622,1.0,183.598,87.705,1.0,168.46,102.996,1.0,150.695,106.846,1.0,127.794,102.495,1.0,113.424,88.009,1.0,105.003,71.111,1.0,110.295,48.213,1.0,120.9,29.892,1.0,135.676,24.13,1.0
4798,185.412,48.806,1.0,185.967,59.602,1.0,186.349,72.689,1.0,183.649,87.705,1.0,168.505,103.066,1.0,150.702,106.829,1.0,127.885,102.486,1.0,113.657,87.916,1.0,105.212,71.034,1.0,110.358,48.543,1.0,121.369,29.805,1.0,134.581,23.068,1.0
4799,185.447,48.853,1.0,186.006,59.559,1.0,186.498,72.58,1.0,183.826,87.825,1.0,168.486,103.104,1.0,150.711,106.802,1.0,128.034,102.429,1.0,113.61,87.899,1.0,105.086,71.16,1.0,110.269,48.409,1.0,121.18,29.823,1.0,135.947,24.264,1.0
4800,185.759,48.696,1.0,186.35,59.479,1.0,186.387,72.192,1.0,183.911,87.827,1.0,168.804,103.119,1.0,150.753,106.664,1.0,128.014,102.28,1.0,113.181,88.337,1.0,105.037,72.054,1.0,110.819,48.074,1.0,121.677,30.565,1.0,134.752,23.154,1.0
4801,185.489,48.58,1.0,186.156,59.379,1.0,186.416,71.939,1.0,184.084,87.28,1.0,169.117,103.203,1.0,151.174,106.629,1.0,128.511,102.305,1.0,113.533,88.485,1.0,105.137,71.892,1.0,110.445,47.93,1.0,121.579,30.552,1.0,134.645,23.177,1.0
4802,185.496,48.602,1.0,186.132,59.461,1.0,186.261,72.221,1.0,184.168,87.269,1.0,169.306,103.242,1.0,151.253,106.872,1.0,128.156,102.402,1.0,113.035,88.349,1.0,105.019,71.574,1.0,110.315,47.702,1.0,121.569,29.741,1.0,134.827,22.954,1.0
4803,185.652,48.745,1.0,186.183,59.679,1.0,186.284,72.516,1.0,184.211,87.55,1.0,169.152,103.354,1.0,150.816,106.665,1.0,128.265,102.338,1.0,113.231,88.162,1.0,104.975,71.721,1.0,110.218,48.115,1.0,121.451,29.691,1.0,134.74,23.109,1.0
4804,185.676,48.746,1.0,186.221,59.676,1.0,186.305,72.381,1.0,184.292,87.494,1.0,169.161,103.329,1.0,151.11,106.672,1.0,128.295,102.271,1.0,113.465,88.077,1.0,105.124,71.814,1.0,110.549,48.05,1.0,121.508,30.415,1.0,134.65,23.083,1.0
4805,185.575,48.777,1.0,186.146,59.646,1.0,186.313,72.308,1.0,184.26,87.343,1.0,169.083,103.202,1.0,151.056,106.686,1.0,128.264,102.303,1.0,113.454,88.146,1.0,105.142,71.885,1.0,110.661,48.049,1.0,121.676,30.03,1.0,134.866,23.05,1.0
4806,185.585,48.832,1.0,186.17,59.638,1.0,186.301,72.412,1.0,184.16,87.535,1.0,169.055,103.469,1.0,151.036,106.707,1.0,128.35,102.537,1.0,113.407,88.225,1.0,105.132,71.922,1.0,110.751,48.345,1.0,121.728,30.068,1.0,134.689,23.106,1.0
4807,185.626,48.828,1.0,186.146,59.632,1.0,186.211,72.494,1.0,184.155,87.45,1.0,169.016,103.422,1.0,151.113,106.756,1.0,128.154,102.469,1.0,113.292,88.137,1.0,105.228,71.857,1.0,110.928,48.154,1.0,121.998,30.046,1.0,134.774,23.062,1.0
4808,185.537,48.749,1.0,186.063,59.607,1.0,186.185,72.483,1.0,184.182,87.38,1.0,168.922,103.423,1.0,151.007,106.64,1.0,128.24,102.39,1.0,113.321,88.223,1.0,105.208,72.006,1.0,111.006,48.18,1.0,121.954,29.839,1.0,134.876,22.971,1.0
4809,185.568,48.714,1.0,186.07,59.661,1.0,186.224,72.509,1.0,184.065,87.401,1.0,168.823,103.371,1.0,150.853,106.568,1.0,128.222,102.381,1.0,113.326,88.203,1.0,105.136,71.982,1.0,110.849,48.004,1.0,121.561,30.219,1.0,134.58,23.215,1.0
4810,185.552,48.676,1.0,186.057,59.633,1.0,186.209,72.538,1.0,184.082,87.352,1.0,168.821,103.345,1.0,150.79,106.568,1.0,128.157,102.403,1.0,113.364,88.183,1.0,105.013,71.895,1.0,110.885,47.839,1.0,121.467,30.533,1.0,134.566,23.244,1.0
4811,185.647,48.763,1.0,186.178,59.683,1.0,186.202,72.523,1.0,184.183,87.372,1.0,168.797,103.484,1.0,150.76,106.708,1.0,128.246,102.474,1.0,113.375,88.012,1.0,105.167,71.746,1.0,110.919,47.825,1.0,121.507,30.3,1.0,134.63,23.087,1.0
4812,185.685,48.948,1.0,186.173,59.404,1.0,186.516,72.334,1.0,184.071,88.36,1.0,168.956,102.849,1.0,151.221,106.833,1.0,128.219,102.723,1.0,113.332,88.097,1.0,105.088,71.599,1.0,110.592,48.765,1.0,122.293,33.73,1.0,134.925,22.839,1.0
4813,185.626,48.87,1.0,186.18,59.183,1.0,186.607,72.014,1.0,184.191,88.103,1.0,169.162,103.021,1.0,151.429,106.978,1.0,128.286,102.872,1.0,113.432,88.295,1.0,105.076,71.745,1.0,110.69,48.61,1.0,122.297,33.551,1.0,134.982,22.612,1.0
4814,185.595,48.744,1.0,186.207,59.13,1.0,186.473,71.874,1.0,184.12,87.932,1.0,169.071,103.097,1.0,151.279,106.733,1.0,128.586,103.012,1.0,113.627,88.311,1.0,105.087,71.691,1.0,110.546,48.042,1.0,121.223,30.479,1.0,134.404,22.791,1.0
4815,185.579,48.673,1.0,186.209,59.241,1.0,186.509,72.118,1.0,183.78,88.225,1.0,168.753,103.229,1.0,150.957,106.72,1.0,128.165,103.096,1.0,113.439,88.48,1.0,104.922,71.946,1.0,110.291,48.153,1.0,121.318,30.159,1.0,134.227,23.032,1.0
4816,185.458,48.604,1.0,186.049,58.957,1.0,186.406,71.865,1.0,183.602,88.075,1.0,168.738,103.064,1.0,151.015,106.521,1.0,127.806,103.047,1.0,113.278,88.164,1.0,104.974,71.277,1.0,110.341,47.681,1.0,122.055,33.547,1.0,134.633,22.512,1.0
4817,185.434,48.465,1.0,186.089,58.811,1.0,186.417,71.751,1.0,183.608,88.18,1.0,168.77,103.139,1.0,150.878,106.587,1.0,127.689,103.007,1.0,113.312,88.061,1.0,104.92,71.319,1.0,110.473,47.507,1.0,121.968,33.52,1.0,134.469,22.645,1.0
4818,185.665,48.495,1.0,186.368,58.936,1.0,186.582,71.903,1.0,183.736,88.198,1.0,168.823,103.108,1.0,150.973,106.516,1.0,127.847,103.019,1.0,113.302,88.315,1.0,105.03,71.564,1.0,110.347,47.675,1.0,121.879,33.461,1.0,134.553,22.76,1.0
4819,185.704,48.503,1.0,186.415,58.942,1.0,186.643,71.984,1.0,183.557,88.536,1.0,168.684,103.235,1.0,150.827,106.614,1.0,127.689,102.957,1.0,113.284,88.26,1.0,105.174,71.566,1.0,110.507,47.714,1.0,121.91,33.44,1.0,134.721,22.802,1.0
4820,185.737,48.663,1.0,186.406,59.154,1.0,186.66,72.127,1.0,183.894,88.369,1.0,168.919,103.148,1.0,151.119,106.586,1.0,127.896,102.884,1.0,113.443,88.137,1.0,105.294,71.636,1.0,110.717,47.484,1.0,121.913,33.42,1.0,134.924,22.637,1.0
4821,185.749,48.843,1.0,186.342,59.314,1.0,186.621,72.434,1.0,183.788,88.398,1.0,168.93,103.103,1.0,151.232,106.47,1.0,128.019,102.842,1.0,113.403,88.134,1.0,105.257,71.436,1.0,110.444,47.821,1.0,121.674,33.509,1.0,134.594,22.912,1.0
4822,185.689,48.795,1.0,186.361,59.208,1.0,186.596,72.08,1.0,183.818,88.162,1.0,168.92,102.974,1.0,151.274,106.462,1.0,128.066,102.871,1.0,113.477,88.227,1.0,105.214,71.336,1.0,110.445,47.698,1.0,121.513,33.39,1.0,134.514,22.897,1.0
4823,185.628,48.719,1.0,186.341,59.145,1.0,186.643,71.893,1.0,183.886,88.135,1.0,168.993,103.032,1.0,151.312,106.513,1.0,127.958,102.88,1.0,113.391,87.961,1.0,105.31,71.009,1.0,110.696,47.421,1.0,121.954,33.188,1.0,134.876,22.596,1.0
4824,185.645,49.021,1.0,186.213,59.497,1.0,186.618,71.935,1.0,184.504,86.738,1.0,169.96,102.798,1.0,151.841,106.514,1.0,128.425,102.728,1.0,113.419,88.191,1.0,105.248,71.416,1.0,110.232,48.49,1.0,122.016,33.736,1.0,134.264,22.787,1.0
4825,185.707,48.987,1.0,186.269,59.559,1.0,186.548,72.105,1.0,184.443,86.801,1.0,169.968,103.124,1.0,151.743,106.599,1.0,128.448,102.61,1.0,113.686,88.206,1.0,105.234,71.598,1.0,110.189,48.499,1.0,121.972,33.921,1.0,134.396,22.929,1.0
4826,185.521,48.915,1.0,186.153,59.399,1.0,186.68,71.832,1.0,184.356,86.704,1.0,169.89,103.125,1.0,151.865,106.808,1.0,128.11,102.62,1.0,113.477,88.151,1.0,105.45,71.336,1.0,110.787,48.144,1.0,122.512,33.387,1.0,135.292,22.547,1.0
4827,185.502,48.929,1.0,186.063,59.425,1.0,186.683,71.708,1.0,184.448,86.305,1.0,169.996,103.051,1.0,151.963,106.558,1.0,128.36,102.511,1.0,113.642,88.092,1.0,105.196,71.155,1.0,110.238,48.331,1.0,121.977,33.359,1.0,135.973,24.21,1.0
4828,185.442,48.854,1.0,186.024,59.367,1.0,186.604,71.593,1.0,184.472,86.099,1.0,170.028,103.015,1.0,152.266,106.554,1.0,128.448,102.591,1.0,113.327,88.4,1.0,105.388,71.356,1.0,110.126,48.586,1.0,122.104,33.268,1.0,134.518,22.691,1.0
4829,185.481,49.192,1.0,185.961,59.684,1.0,186.63,71.915,1.0,184.677,86.062,1.0,169.988,103.072,1.0,152.121,106.611,1.0,128.41,102.549,1.0,113.384,88.084,1.0,105.657,71.182,1.0,110.609,48.226,1.0,122.474,33.0,1.0,135.391,22.4,1.0
4830,185.326,49.039,1.0,185.73,59.627,1.0,186.232,71.893,1.0,184.7,85.905,1.0,169.793,102.984,1.0,152.048,106.413,1.0,128.353,102.479,1.0,113.401,87.965,1.0,105.386,71.055,1.0,110.373,47.91,1.0,121.987,32.641,1.0,135.864,24.258,1.0
4831,185.505,48.994,1.0,185.904,59.605,1.0,186.281,71.957,1.0,184.846,85.964,1.0,170.036,103.404,1.0,152.086,106.45,1.0,128.36,102.311,1.0,113.28,87.982,1.0,105.423,70.962,1.0,110.296,48.1,1.0,122.151,32.697,1.0,136.387,24.29,1.0
4832,185.412,49.02,1.0,185.845,59.64,1.0,186.341,71.951,1.0,184.903,85.797,1.0,170.017,103.205,1.0,152.258,106.486,1.0,128.534,102.362,1.0,113.308,88.012,1.0,105.54,70.943,1.0,110.45,47.981,1.0,121.748,32.676,1.0,136.222,23.957,1.0
4833,185.409,48.952,1.0,185.964,59.388,1.0,186.441,71.425,1.0,185.125,85.681,1.0,170.181,103.336,1.0,152.59,106.598,1.0,128.661,102.378,1.0,113.377,88.109,1.0,105.637,71.043,1.0,110.646,48.043,1.0,121.837,32.502,1.0,136.16,23.987,1.0
4834,185.474,49.003,1.0,186.041,59.459,1.0,186.403,71.575,1.0,185.006,85.735,1.0,170.117,103.286,1.0,152.526,106.416,1.0,128.685,102.378,1.0,113.342,88.102,1.0,105.437,71.047,1.0,110.456,48.426,1.0,121.741,32.416,1.0,136.04,23.809,1.0
4835,185.413,49.049,1.0,185.953,59.512,1.0,186.352,71.622,1.0,184.926,85.686,1.0,170.2,102.961,1.0,152.693,106.333,1.0,128.795,102.26,1.0,113.405,87.975,1.0,105.486,71.212,1.0,110.62,48.44,1.0,121.779,32.173,1.0,136.006,23.797,1.0
4836,185.672,49.247,1.0,186.074,59.75,1.0,186.206,72.823,1.0,183.575,89.126,1.0,168.583,103.247,1.0,150.77,107.2,1.0,127.92,102.467,1.0,113.384,87.793,1.0,105.221,71.49,1.0,111.145,47.589,1.0,121.86,30.097,1.0,134.214,23.292,1.0
