scorer,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
225,947.538,832.945,1.0,884.403,746.895,1.0,751.455,642.888,1.0,558.548,597.993,1.0,356.424,633.518,1.0,186.604,747.674,1.0,77.593,934.584,1.0,49.774,1108.929,1.0,59.449,1273.489,1.0,93.607,1398.304,1.0,123.893,1513.571,1.0
226,955.304,836.984,1.0,887.242,747.375,1.0,757.225,642.392,1.0,569.029,596.36,1.0,360.092,629.823,1.0,186.46,747.184,1.0,77.736,932.882,1.0,46.582,1110.815,1.0,59.345,1272.713,1.0,93.658,1397.942,1.0,123.527,1512.103,1.0
227,955.928,844.796,1.0,895.709,760.215,1.0,762.638,649.903,1.0,567.97,599.304,1.0,358.311,628.989,1.0,187.0,747.139,1.0,77.841,932.432,1.0,46.202,1110.125,1.0,58.773,1270.625,1.0,94.06,1397.424,1.0,123.882,1509.09,1.0
228,956.442,854.603,1.0,899.71,764.381,1.0,763.708,652.979,1.0,580.96,600.579,1.0,362.04,630.143,1.0,188.154,748.057,1.0,81.299,929.493,1.0,45.674,1108.822,1.0,57.962,1269.837,1.0,94.21,1397.833,1.0,122.845,1501.093,1.0
229,956.849,861.983,1.0,903.813,775.936,1.0,771.045,656.264,1.0,585.501,601.679,1.0,372.329,630.38,1.0,187.926,748.154,1.0,80.771,928.771,1.0,45.495,1108.293,1.0,57.942,1269.519,1.0,94.056,1397.615,1.0,122.908,1500.934,1.0
230,960.916,867.384,1.0,905.038,777.064,1.0,772.861,664.368,1.0,590.504,601.073,1.0,375.101,630.317,1.0,188.358,748.953,1.0,77.193,925.254,1.0,45.192,1107.921,1.0,57.789,1267.671,1.0,93.343,1398.589,1.0,122.881,1500.945,1.0
231,960.822,870.047,1.0,905.039,781.853,1.0,773.195,664.195,1.0,590.892,602.891,1.0,373.787,631.8,1.0,186.831,752.116,1.0,77.551,930.977,1.0,46.484,1111.192,1.0,57.482,1264.496,1.0,95.014,1397.027,1.0,122.506,1498.103,1.0
232,961.763,872.758,1.0,905.618,781.19,1.0,776.369,665.701,1.0,592.477,608.208,1.0,377.224,632.59,1.0,188.377,748.969,1.0,82.188,925.7,1.0,46.125,1110.041,1.0,57.544,1264.966,1.0,95.238,1396.229,1.0,122.861,1500.171,1.0
233,956.888,875.321,1.0,905.221,781.999,1.0,777.129,666.369,1.0,592.591,608.303,1.0,374.062,630.391,1.0,188.767,748.424,1.0,82.004,924.873,1.0,45.992,1109.724,1.0,57.819,1264.703,1.0,95.575,1396.07,1.0,123.016,1500.107,1.0
234,956.848,875.921,1.0,905.082,782.273,1.0,777.594,667.092,1.0,595.885,609.433,1.0,376.006,630.171,1.0,189.023,747.54,1.0,81.518,924.128,1.0,45.618,1109.222,1.0,57.603,1264.865,1.0,94.58,1400.563,1.0,122.831,1500.513,1.0
235,962.437,874.491,1.0,905.084,782.544,1.0,777.493,667.2,1.0,595.54,608.699,1.0,376.031,630.398,1.0,189.046,747.668,1.0,80.645,923.955,1.0,44.803,1106.732,1.0,57.241,1260.852,1.0,94.179,1400.812,1.0,122.724,1500.616,1.0
236,963.407,877.177,1.0,906.734,786.169,1.0,779.445,668.43,1.0,598.485,607.911,1.0,375.618,628.22,1.0,189.024,746.63,1.0,80.963,923.794,1.0,44.53,1100.874,1.0,57.262,1260.68,1.0,93.972,1401.158,1.0,122.788,1500.719,1.0
237,961.79,881.972,1.0,906.465,790.088,1.0,782.851,672.376,1.0,603.12,610.322,1.0,377.523,630.082,1.0,196.427,745.121,1.0,81.52,923.282,1.0,44.409,1099.877,1.0,57.235,1260.665,1.0,95.159,1396.248,1.0,122.918,1501.021,1.0
238,962.114,884.745,1.0,909.293,793.195,1.0,782.226,675.678,1.0,606.336,612.561,1.0,377.876,631.0,1.0,197.116,745.721,1.0,81.567,923.208,1.0,45.605,1095.884,1.0,57.3,1264.505,1.0,94.779,1396.502,1.0,122.743,1501.214,1.0
239,962.812,889.898,1.0,909.199,793.771,1.0,782.193,674.807,1.0,605.193,611.496,1.0,379.826,629.679,1.0,199.316,744.612,1.0,83.662,919.136,1.0,43.053,1098.774,1.0,56.897,1265.611,1.0,94.794,1396.388,1.0,122.747,1501.214,1.0
240,964.556,893.157,1.0,910.732,794.407,1.0,786.152,675.229,1.0,607.032,610.268,1.0,388.081,625.255,1.0,202.303,740.661,1.0,84.025,917.544,1.0,45.279,1095.554,1.0,57.038,1264.976,1.0,94.676,1396.478,1.0,122.639,1501.076,1.0
241,963.905,898.77,1.0,913.181,800.853,1.0,789.84,682.226,1.0,604.372,613.64,1.0,391.312,625.077,1.0,204.2,739.194,1.0,85.281,917.691,1.0,42.951,1098.244,1.0,57.189,1260.754,1.0,95.231,1396.863,1.0,122.859,1501.1,1.0
242,964.293,901.632,1.0,912.928,804.8,1.0,791.894,684.095,1.0,606.919,615.685,1.0,392.458,625.975,1.0,204.141,739.123,1.0,85.978,916.719,1.0,45.09,1095.52,1.0,57.206,1260.611,1.0,95.089,1396.727,1.0,122.72,1501.041,1.0
243,964.934,906.756,1.0,915.495,808.119,1.0,792.508,684.665,1.0,607.029,614.688,1.0,392.737,626.533,1.0,204.684,738.081,1.0,84.67,915.976,1.0,44.663,1095.135,1.0,57.044,1260.518,1.0,93.566,1400.671,1.0,122.7,1501.051,1.0
244,965.248,910.114,1.0,918.537,811.042,1.0,795.408,685.213,1.0,609.664,617.607,1.0,395.539,627.252,1.0,209.028,735.718,1.0,86.05,913.516,1.0,45.498,1095.648,1.0,56.965,1260.317,1.0,94.19,1399.668,1.0,122.887,1501.117,1.0
245,970.458,921.564,1.0,922.967,815.097,1.0,799.33,689.816,1.0,617.138,616.746,1.0,404.399,628.726,1.0,213.068,734.24,1.0,87.136,909.694,1.0,42.353,1097.835,1.0,54.615,1260.901,1.0,94.125,1400.522,1.0,122.967,1501.339,1.0
246,971.133,924.212,1.0,919.981,823.166,1.0,803.014,699.865,1.0,620.97,617.683,1.0,407.366,631.758,1.0,214.27,734.464,1.0,86.149,914.119,1.0,42.262,1097.777,1.0,54.376,1260.902,1.0,93.977,1400.703,1.0,123.093,1501.282,1.0
247,971.282,931.213,1.0,923.176,827.606,1.0,806.338,700.68,1.0,621.325,619.282,1.0,407.136,630.746,1.0,214.735,734.779,1.0,86.469,914.524,1.0,42.107,1098.337,1.0,53.875,1261.374,1.0,94.109,1401.062,1.0,123.123,1501.188,1.0
248,971.582,938.168,1.0,927.281,832.255,1.0,805.814,704.386,1.0,628.238,622.3,1.0,408.143,631.084,1.0,215.435,734.041,1.0,91.617,914.617,1.0,42.623,1099.818,1.0,53.148,1261.735,1.0,95.234,1396.381,1.0,123.116,1501.181,1.0
249,971.579,945.136,1.0,929.453,842.313,1.0,808.416,708.483,1.0,633.391,625.468,1.0,410.654,631.45,1.0,218.519,731.292,1.0,86.571,914.95,1.0,42.722,1100.092,1.0,52.028,1263.74,1.0,94.827,1397.019,1.0,123.088,1501.23,1.0
250,972.359,954.384,1.0,934.637,848.994,1.0,817.033,718.531,1.0,632.962,633.577,1.0,423.897,631.092,1.0,220.733,731.771,1.0,86.357,916.574,1.0,42.207,1100.486,1.0,52.731,1261.535,1.0,92.077,1403.178,1.0,123.262,1501.299,1.0
251,972.394,962.036,1.0,935.206,855.005,1.0,821.307,721.255,1.0,639.771,630.258,1.0,422.575,632.645,1.0,221.354,732.353,1.0,91.997,915.108,1.0,42.277,1100.576,1.0,52.398,1263.27,1.0,91.38,1404.929,1.0,123.249,1501.37,1.0
252,972.97,963.148,1.0,935.665,856.358,1.0,822.054,716.864,1.0,640.452,630.25,1.0,422.947,632.077,1.0,221.486,732.285,1.0,91.791,914.712,1.0,42.129,1099.702,1.0,52.207,1263.872,1.0,91.031,1405.633,1.0,123.264,1501.334,1.0
253,977.304,965.753,1.0,937.191,858.85,1.0,822.572,720.369,1.0,640.913,630.942,1.0,422.337,631.686,1.0,221.423,731.878,1.0,91.818,914.154,1.0,41.844,1099.504,1.0,52.498,1261.424,1.0,90.896,1405.913,1.0,125.009,1504.656,1.0
254,977.575,976.413,1.0,938.111,872.335,1.0,824.36,730.129,1.0,645.355,640.734,1.0,424.782,633.487,1.0,227.449,731.934,1.0,91.986,914.525,1.0,41.968,1099.648,1.0,51.445,1263.002,1.0,90.193,1406.829,1.0,122.974,1501.235,1.0
255,977.795,981.079,1.0,940.474,874.768,1.0,826.603,731.778,1.0,646.995,642.146,1.0,434.298,633.904,1.0,227.888,732.721,1.0,91.948,909.711,1.0,41.812,1099.134,1.0,51.499,1261.692,1.0,89.992,1406.788,1.0,122.985,1501.256,1.0
256,978.476,985.898,1.0,940.465,876.571,1.0,827.341,733.467,1.0,651.573,643.739,1.0,434.816,634.381,1.0,230.547,732.456,1.0,91.767,909.56,1.0,41.065,1098.173,1.0,50.671,1262.809,1.0,89.801,1406.844,1.0,122.99,1501.252,1.0
257,977.327,992.21,1.0,943.087,882.07,1.0,833.136,738.242,1.0,651.605,646.925,1.0,436.377,634.727,1.0,230.659,732.625,1.0,91.763,909.4,1.0,40.93,1098.4,1.0,50.02,1262.832,1.0,89.318,1406.358,1.0,123.178,1501.27,1.0
258,973.303,997.101,1.0,945.685,891.777,1.0,835.239,743.907,1.0,652.9,653.875,1.0,438.23,635.258,1.0,232.04,732.47,1.0,91.7,909.191,1.0,41.084,1098.79,1.0,50.055,1261.686,1.0,89.27,1406.113,1.0,123.17,1501.293,1.0
259,979.065,1004.953,1.0,950.239,895.893,1.0,839.491,751.221,1.0,663.682,650.12,1.0,438.399,635.378,1.0,234.949,730.193,1.0,91.714,908.363,1.0,38.493,1098.449,1.0,49.601,1260.893,1.0,89.706,1404.798,1.0,123.226,1501.319,1.0
260,973.115,1013.134,1.0,951.876,903.798,1.0,848.524,760.693,1.0,670.215,650.988,1.0,450.156,636.795,1.0,236.202,730.382,1.0,93.523,901.98,1.0,37.274,1097.956,1.0,48.875,1260.729,1.0,89.529,1403.483,1.0,124.76,1508.22,1.0
261,977.185,1014.04,1.0,952.418,904.653,1.0,849.882,762.167,1.0,675.08,652.478,1.0,441.799,637.787,1.0,236.068,730.031,1.0,93.699,900.774,1.0,35.658,1092.071,1.0,48.27,1260.056,1.0,89.588,1402.025,1.0,129.382,1516.258,1.0
262,973.031,1020.231,1.0,953.899,911.442,1.0,851.11,760.467,1.0,675.325,653.658,1.0,441.723,637.699,1.0,235.79,729.299,1.0,93.394,900.196,1.0,35.667,1090.312,1.0,43.303,1258.898,1.0,89.524,1402.127,1.0,130.227,1516.301,1.0
263,972.937,1026.198,1.0,953.118,914.596,1.0,851.61,763.161,1.0,672.781,652.454,1.0,450.071,637.023,1.0,235.501,728.995,1.0,93.545,899.558,1.0,37.371,1085.921,1.0,42.694,1258.725,1.0,88.419,1403.679,1.0,130.803,1516.425,1.0
264,972.547,1028.671,1.0,952.827,915.779,1.0,853.146,765.614,1.0,674.629,655.041,1.0,452.198,637.429,1.0,235.516,728.744,1.0,93.594,899.286,1.0,37.318,1086.078,1.0,42.456,1258.334,1.0,89.339,1399.932,1.0,131.422,1517.316,1.0
265,972.009,1034.885,1.0,954.347,922.292,1.0,853.01,768.637,1.0,677.15,659.065,1.0,453.718,637.598,1.0,237.629,728.504,1.0,93.648,898.721,1.0,33.72,1090.98,1.0,42.611,1260.844,1.0,89.713,1403.545,1.0,130.824,1516.842,1.0
266,972.897,1041.956,1.0,954.158,925.562,1.0,854.628,770.466,1.0,680.328,665.04,1.0,454.401,637.458,1.0,238.302,728.275,1.0,92.822,893.403,1.0,32.418,1089.526,1.0,42.319,1268.077,1.0,89.061,1405.358,1.0,129.617,1516.302,1.0
267,972.015,1049.931,1.0,955.415,930.499,1.0,857.317,776.364,1.0,682.701,663.618,1.0,453.606,637.914,1.0,243.914,728.241,1.0,92.84,893.268,1.0,34.003,1092.407,1.0,42.566,1271.06,1.0,89.128,1405.56,1.0,128.059,1513.15,1.0
268,971.745,1050.643,1.0,955.402,930.849,1.0,857.944,776.357,1.0,682.764,663.995,1.0,453.861,638.058,1.0,244.46,728.001,1.0,92.868,893.297,1.0,35.565,1098.404,1.0,43.053,1273.675,1.0,88.056,1407.066,1.0,127.464,1512.334,1.0
269,971.959,1053.304,1.0,954.916,934.778,1.0,861.301,777.521,1.0,682.762,664.486,1.0,453.153,636.307,1.0,245.026,727.071,1.0,92.874,893.059,1.0,35.737,1098.94,1.0,43.157,1273.036,1.0,90.96,1410.586,1.0,126.95,1510.282,1.0
270,971.835,1058.036,1.0,955.763,938.503,1.0,861.483,778.511,1.0,687.49,663.756,1.0,457.565,639.101,1.0,245.421,726.742,1.0,92.811,893.048,1.0,35.195,1098.18,1.0,42.924,1273.802,1.0,90.92,1411.438,1.0,129.266,1516.615,1.0
271,971.757,1060.541,1.0,955.712,940.453,1.0,866.106,783.537,1.0,685.707,669.854,1.0,457.809,638.788,1.0,245.954,725.972,1.0,96.431,892.478,1.0,35.096,1098.373,1.0,42.602,1273.725,1.0,91.142,1412.444,1.0,129.266,1516.677,1.0
272,970.702,1066.12,1.0,957.416,947.197,1.0,867.749,785.004,1.0,687.991,672.156,1.0,457.54,639.894,1.0,250.745,726.411,1.0,92.748,893.102,1.0,34.25,1094.753,1.0,40.97,1270.036,1.0,89.354,1413.389,1.0,130.109,1517.645,1.0
273,970.944,1072.94,1.0,957.688,953.578,1.0,869.146,792.341,1.0,687.567,671.368,1.0,459.11,643.776,1.0,251.726,727.388,1.0,92.866,893.452,1.0,34.505,1095.117,1.0,40.578,1270.943,1.0,88.041,1415.135,1.0,130.329,1518.272,1.0
274,971.084,1074.634,1.0,960.589,958.233,1.0,870.211,793.179,1.0,692.227,669.603,1.0,465.988,639.232,1.0,252.146,726.545,1.0,92.64,893.006,1.0,33.722,1093.24,1.0,37.746,1268.69,1.0,88.135,1414.217,1.0,130.294,1518.158,1.0
275,971.047,1074.616,1.0,960.983,960.927,1.0,872.136,795.434,1.0,698.761,671.916,1.0,465.758,637.743,1.0,252.823,722.411,1.0,92.276,892.064,1.0,32.149,1088.726,1.0,36.896,1267.558,1.0,87.126,1412.996,1.0,131.382,1518.581,1.0
276,970.493,1081.489,1.0,961.422,959.154,1.0,872.143,796.77,1.0,695.243,680.554,1.0,466.625,638.344,1.0,252.61,722.055,1.0,92.525,892.029,1.0,30.208,1092.856,1.0,36.749,1268.581,1.0,87.169,1412.805,1.0,131.317,1518.343,1.0
277,970.929,1083.959,1.0,960.521,965.202,1.0,873.139,796.546,1.0,697.472,681.309,1.0,469.196,639.312,1.0,252.902,721.84,1.0,92.629,892.226,1.0,30.009,1092.944,1.0,36.823,1268.445,1.0,87.59,1414.21,1.0,131.1,1517.778,1.0
278,964.997,1089.118,1.0,962.382,971.66,1.0,872.019,799.219,1.0,704.726,677.048,1.0,471.885,640.255,1.0,253.458,722.025,1.0,92.585,892.142,1.0,29.193,1091.281,1.0,41.276,1275.662,1.0,86.697,1415.117,1.0,131.669,1518.13,1.0
279,965.401,1094.264,1.0,963.996,975.238,1.0,872.138,802.383,1.0,704.407,677.343,1.0,472.394,642.262,1.0,253.634,722.424,1.0,95.99,891.296,1.0,29.509,1094.138,1.0,36.405,1275.433,1.0,87.512,1416.143,1.0,131.65,1518.238,1.0
280,965.401,1101.516,1.0,964.653,974.214,1.0,873.17,806.023,1.0,712.95,683.693,1.0,469.114,641.458,1.0,261.381,716.96,1.0,99.491,882.768,1.0,27.922,1092.202,1.0,32.468,1267.032,1.0,88.044,1419.865,1.0,132.028,1517.958,1.0
281,964.267,1108.215,1.0,967.347,974.707,1.0,874.96,809.775,1.0,708.441,686.705,1.0,471.313,642.845,1.0,262.132,716.245,1.0,99.825,881.9,1.0,27.05,1091.332,1.0,31.956,1269.538,1.0,87.811,1419.764,1.0,132.323,1518.038,1.0
282,964.368,1114.149,1.0,967.015,982.16,1.0,876.358,809.276,1.0,710.285,686.554,1.0,472.843,642.829,1.0,262.398,715.833,1.0,99.448,881.609,1.0,26.875,1091.561,1.0,31.149,1268.76,1.0,87.647,1420.505,1.0,132.913,1518.133,1.0
283,964.098,1114.726,1.0,967.311,987.23,1.0,877.011,811.354,1.0,714.682,684.252,1.0,471.896,643.133,1.0,262.377,715.913,1.0,99.536,881.931,1.0,26.37,1090.81,1.0,27.586,1270.066,1.0,87.296,1422.52,1.0,132.743,1518.222,1.0
284,963.69,1117.147,1.0,967.684,988.41,1.0,877.495,811.656,1.0,716.449,684.83,1.0,473.268,643.44,1.0,262.484,716.069,1.0,99.296,881.598,1.0,26.919,1090.961,1.0,27.41,1270.465,1.0,88.879,1425.967,1.0,132.884,1518.161,1.0
285,961.52,1121.403,1.0,968.338,989.644,1.0,882.923,816.31,1.0,717.316,687.323,1.0,475.395,644.812,1.0,262.938,716.447,1.0,99.097,881.128,1.0,23.333,1093.166,1.0,27.342,1269.933,1.0,87.927,1425.833,1.0,133.033,1518.195,1.0
286,961.06,1125.182,1.0,966.466,997.314,1.0,884.184,820.953,1.0,718.784,689.912,1.0,475.403,645.713,1.0,264.302,716.789,1.0,99.34,880.798,1.0,22.657,1093.918,1.0,27.02,1271.67,1.0,87.9,1427.218,1.0,133.067,1518.265,1.0
287,956.523,1130.65,1.0,966.227,1002.427,1.0,884.729,826.345,1.0,715.383,696.458,1.0,486.025,643.56,1.0,266.395,713.98,1.0,100.555,878.221,1.0,22.443,1093.233,1.0,26.587,1270.947,1.0,87.906,1428.448,1.0,133.289,1518.449,1.0
288,956.252,1137.308,1.0,968.441,1009.957,1.0,884.691,825.865,1.0,716.099,696.566,1.0,488.161,643.113,1.0,266.587,713.663,1.0,99.041,877.658,1.0,21.715,1091.476,1.0,26.052,1270.543,1.0,88.799,1425.462,1.0,133.346,1518.341,1.0
289,956.54,1139.207,1.0,970.423,1019.704,1.0,888.376,829.389,1.0,719.515,698.077,1.0,487.487,643.064,1.0,266.627,713.911,1.0,100.214,877.134,1.0,20.307,1092.912,1.0,25.793,1271.007,1.0,88.248,1426.878,1.0,133.474,1518.191,1.0
290,956.139,1140.935,1.0,969.778,1027.299,1.0,889.267,833.409,1.0,720.747,699.133,1.0,488.115,644.505,1.0,266.888,713.746,1.0,100.381,877.068,1.0,19.766,1091.097,1.0,25.447,1272.202,1.0,88.177,1429.47,1.0,133.468,1520.317,1.0
291,955.364,1146.749,1.0,969.467,1029.248,1.0,891.639,836.715,1.0,716.329,699.996,1.0,490.525,645.934,1.0,267.087,713.895,1.0,100.314,876.942,1.0,20.202,1091.234,1.0,24.925,1271.146,1.0,88.191,1430.091,1.0,133.493,1520.608,1.0
292,955.309,1148.411,1.0,971.018,1034.278,1.0,890.599,838.353,1.0,721.281,697.116,1.0,489.244,645.394,1.0,268.218,713.534,1.0,100.028,877.055,1.0,22.218,1086.25,1.0,25.737,1274.352,1.0,88.192,1430.956,1.0,133.853,1522.747,1.0
293,955.085,1153.194,1.0,970.393,1035.761,1.0,891.681,839.296,1.0,725.489,699.141,1.0,489.368,647.635,1.0,268.79,714.122,1.0,100.613,877.047,1.0,19.62,1090.128,1.0,24.803,1272.034,1.0,86.436,1430.387,1.0,133.382,1523.627,1.0
294,955.072,1154.331,1.0,972.124,1040.867,1.0,892.47,840.643,1.0,726.849,699.002,1.0,490.792,646.38,1.0,274.874,711.622,1.0,101.169,876.142,1.0,21.757,1086.197,1.0,25.2,1275.324,1.0,86.372,1432.329,1.0,134.069,1523.238,1.0
295,955.28,1155.941,1.0,971.198,1041.257,1.0,896.76,842.803,1.0,728.422,699.662,1.0,491.691,646.657,1.0,274.22,711.698,1.0,100.877,876.063,1.0,21.803,1086.082,1.0,22.611,1274.658,1.0,87.06,1429.721,1.0,134.347,1522.737,1.0
296,955.154,1157.507,1.0,970.786,1044.046,1.0,899.878,846.828,1.0,730.121,698.934,1.0,498.113,647.416,1.0,274.693,711.456,1.0,100.66,875.966,1.0,21.297,1085.228,1.0,22.339,1274.755,1.0,86.643,1431.563,1.0,134.298,1522.737,1.0
297,954.4,1161.433,1.0,970.637,1043.071,1.0,903.201,844.878,1.0,727.5,699.171,1.0,499.172,647.633,1.0,273.269,710.857,1.0,100.913,875.773,1.0,20.978,1084.396,1.0,21.684,1273.816,1.0,87.239,1434.731,1.0,134.56,1525.048,1.0
298,950.215,1163.301,1.0,971.463,1050.264,1.0,904.628,850.318,1.0,730.391,700.152,1.0,499.52,648.601,1.0,270.476,712.675,1.0,102.932,870.965,1.0,20.527,1085.227,1.0,21.84,1276.136,1.0,87.202,1437.425,1.0,134.668,1525.234,1.0
299,949.503,1164.71,1.0,971.07,1050.372,1.0,903.509,849.308,1.0,732.418,699.925,1.0,499.275,648.619,1.0,270.424,712.487,1.0,108.14,867.862,1.0,21.053,1086.452,1.0,22.223,1276.451,1.0,87.132,1439.106,1.0,134.757,1525.237,1.0
300,947.807,1168.404,1.0,971.021,1050.613,1.0,901.26,846.271,1.0,735.561,700.396,1.0,499.772,649.037,1.0,270.826,712.137,1.0,102.896,870.821,1.0,21.231,1085.791,1.0,21.697,1276.708,1.0,87.065,1439.073,1.0,136.677,1527.957,1.0
301,947.571,1170.714,1.0,970.889,1051.149,1.0,902.554,847.309,1.0,734.73,701.561,1.0,500.729,649.237,1.0,270.83,712.419,1.0,100.302,876.523,1.0,21.3,1086.139,1.0,22.045,1276.277,1.0,87.137,1437.972,1.0,136.613,1527.839,1.0
302,947.77,1173.783,1.0,971.345,1050.262,1.0,901.539,848.465,1.0,737.182,702.91,1.0,501.207,649.604,1.0,271.162,711.988,1.0,100.423,876.815,1.0,21.391,1086.047,1.0,21.459,1274.562,1.0,85.156,1437.311,1.0,136.925,1528.889,1.0
303,947.748,1177.509,1.0,971.117,1050.695,1.0,903.036,851.494,1.0,732.579,706.065,1.0,500.966,649.477,1.0,273.624,710.999,1.0,100.283,877.375,1.0,21.42,1085.872,1.0,20.674,1274.582,1.0,85.248,1436.934,1.0,137.221,1529.949,1.0
304,947.499,1179.262,1.0,970.967,1051.686,1.0,903.57,852.586,1.0,733.321,706.914,1.0,502.786,649.457,1.0,274.465,710.711,1.0,100.263,877.471,1.0,17.384,1089.574,1.0,20.78,1274.175,1.0,84.811,1436.302,1.0,137.932,1532.624,1.0
305,947.593,1180.386,1.0,970.857,1052.033,1.0,902.332,852.989,1.0,734.308,708.485,1.0,500.575,647.515,1.0,275.356,710.51,1.0,100.807,877.44,1.0,18.435,1091.559,1.0,20.508,1274.179,1.0,84.956,1437.666,1.0,137.961,1532.801,1.0
306,945.534,1185.12,1.0,970.566,1051.558,1.0,900.698,851.208,1.0,741.083,710.588,1.0,500.324,647.725,1.0,278.404,710.594,1.0,100.937,877.273,1.0,18.289,1090.823,1.0,19.391,1271.295,1.0,85.217,1434.315,1.0,138.059,1532.932,1.0
307,945.257,1184.835,1.0,971.718,1056.318,1.0,902.54,856.442,1.0,743.065,713.494,1.0,501.276,648.222,1.0,276.136,710.582,1.0,100.791,877.224,1.0,18.36,1090.919,1.0,19.882,1274.714,1.0,84.578,1432.235,1.0,137.889,1532.936,1.0
308,945.037,1185.184,1.0,971.423,1058.496,1.0,906.069,860.968,1.0,745.421,709.932,1.0,501.436,648.275,1.0,276.599,710.573,1.0,100.7,876.996,1.0,17.596,1090.166,1.0,19.79,1275.591,1.0,83.38,1431.777,1.0,138.032,1533.123,1.0
309,940.803,1186.826,1.0,970.997,1059.949,1.0,906.737,864.897,1.0,745.878,709.725,1.0,503.057,648.322,1.0,275.521,711.337,1.0,99.409,876.768,1.0,21.282,1086.324,1.0,18.819,1275.272,1.0,83.433,1432.359,1.0,138.149,1533.113,1.0
310,940.7,1186.716,1.0,970.833,1064.464,1.0,907.718,867.387,1.0,745.05,712.362,1.0,505.062,648.806,1.0,268.085,713.051,1.0,98.352,877.118,1.0,20.062,1082.78,1.0,18.654,1275.602,1.0,83.566,1432.743,1.0,140.341,1537.216,1.0
311,940.54,1186.457,1.0,972.81,1067.125,1.0,907.016,871.309,1.0,745.339,714.817,1.0,515.071,650.222,1.0,267.52,713.188,1.0,97.93,877.094,1.0,19.615,1078.632,1.0,18.538,1275.694,1.0,83.997,1433.258,1.0,140.339,1540.68,1.0
312,940.21,1187.805,1.0,972.322,1067.5,1.0,907.954,873.248,1.0,745.029,714.417,1.0,514.848,650.238,1.0,274.151,712.041,1.0,98.119,876.787,1.0,19.298,1078.168,1.0,18.616,1276.251,1.0,83.441,1433.163,1.0,139.922,1541.486,1.0
313,940.079,1188.164,1.0,971.589,1068.567,1.0,907.553,873.012,1.0,746.244,713.549,1.0,514.6,649.251,1.0,274.284,712.024,1.0,98.191,876.563,1.0,18.894,1078.39,1.0,18.884,1275.32,1.0,82.85,1432.765,1.0,139.594,1538.04,1.0
