scorer,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,139.763,314.475,1.0,126.585,419.316,1.0,119.26,529.787,1.0,106.18,660.996,1.0,102.203,788.808,1.0,100.124,867.325,0.45899999141693115,98.579,1008.725,1.0,99.981,1121.556,1.0,101.235,1243.608,1.0,108.42,1363.077,1.0,114.523,1457.208,1.0
38,139.922,314.631,1.0,126.34,419.375,1.0,119.179,529.005,1.0,106.458,661.635,1.0,101.609,787.597,1.0,,,0.0,98.703,1009.102,1.0,100.439,1122.364,1.0,101.356,1243.869,1.0,105.151,1358.823,1.0,114.457,1457.74,1.0
39,139.9,314.571,1.0,126.787,419.403,1.0,119.209,529.211,1.0,106.805,660.481,1.0,101.566,786.984,1.0,,,0.0,98.676,1009.021,1.0,100.59,1122.195,1.0,101.363,1244.272,1.0,105.226,1358.632,1.0,114.369,1457.681,1.0
40,140.171,314.523,1.0,126.727,419.01,1.0,119.379,528.722,1.0,106.066,660.53,1.0,101.828,785.079,1.0,99.549,860.0,0.026000000536441803,98.607,1009.128,1.0,100.026,1121.831,1.0,101.413,1244.095,1.0,105.385,1358.532,1.0,114.536,1458.172,1.0
41,139.827,314.385,1.0,126.508,419.432,1.0,119.389,528.933,1.0,106.417,661.149,1.0,101.218,784.786,1.0,99.453,860.12,0.0949999988079071,98.647,1009.196,1.0,100.119,1121.916,1.0,101.523,1244.129,1.0,105.654,1358.212,1.0,114.724,1457.749,1.0
42,139.77,314.523,1.0,126.458,419.655,1.0,118.854,528.213,1.0,106.452,659.415,1.0,100.13,786.46,1.0,100.28,860.289,0.9879999756813049,98.891,1009.968,1.0,100.071,1121.663,1.0,101.57,1243.931,1.0,105.465,1358.529,1.0,114.904,1457.66,1.0
43,139.824,314.305,1.0,127.225,417.989,1.0,118.84,529.279,1.0,106.266,659.679,1.0,101.607,786.316,1.0,100.285,859.904,0.9990000128746033,98.67,1009.745,1.0,100.029,1121.353,1.0,101.484,1243.868,1.0,105.615,1358.257,1.0,115.845,1453.937,1.0
44,140.001,314.416,1.0,127.209,418.055,1.0,119.099,528.725,1.0,105.927,659.96,1.0,101.685,785.814,1.0,100.26,860.048,0.996999979019165,98.759,1009.889,1.0,100.034,1121.56,1.0,101.467,1243.886,1.0,105.455,1358.39,1.0,115.848,1453.809,1.0
45,140.445,308.464,1.0,128.073,418.461,1.0,119.218,528.023,1.0,106.037,660.028,1.0,101.367,785.713,1.0,100.622,860.124,0.9980000257492065,98.795,1009.805,1.0,100.203,1121.766,1.0,101.435,1243.968,1.0,108.459,1364.182,1.0,115.776,1453.773,1.0
46,140.442,308.441,1.0,127.772,418.931,1.0,119.249,528.072,1.0,105.945,659.842,1.0,101.311,785.229,1.0,100.697,860.41,0.996999979019165,98.772,1009.81,1.0,100.282,1121.894,1.0,101.475,1244.127,1.0,108.304,1365.408,1.0,115.684,1453.723,1.0
47,140.501,308.838,1.0,128.129,418.081,1.0,119.042,527.607,1.0,105.928,660.458,1.0,101.288,785.649,1.0,100.773,860.473,0.996999979019165,98.766,1009.782,1.0,100.298,1122.055,1.0,101.282,1244.165,1.0,108.347,1365.347,1.0,115.651,1453.769,1.0
48,140.36,308.963,1.0,127.344,418.106,1.0,118.935,528.49,1.0,105.852,661.342,1.0,101.463,786.012,1.0,100.773,860.044,0.9900000095367432,98.709,1010.059,1.0,100.134,1122.083,1.0,100.743,1243.628,1.0,108.251,1365.13,1.0,115.684,1453.69,1.0
49,140.512,309.089,1.0,127.813,418.686,1.0,119.202,527.621,1.0,105.426,661.686,1.0,100.817,786.832,1.0,101.039,860.03,0.9980000257492065,98.696,1010.005,1.0,99.94,1122.48,1.0,100.771,1243.836,1.0,108.321,1365.124,1.0,115.62,1453.705,1.0
50,140.597,309.25,1.0,126.86,419.15,1.0,119.753,527.232,1.0,105.369,661.867,1.0,100.564,786.799,1.0,101.523,860.383,0.996999979019165,98.638,1009.964,1.0,99.604,1122.158,1.0,100.608,1243.524,1.0,108.06,1364.279,1.0,115.644,1453.742,1.0
51,140.282,314.509,1.0,126.93,419.38,1.0,120.056,528.253,1.0,105.734,662.343,1.0,100.927,786.813,1.0,100.857,866.979,0.9980000257492065,99.164,1013.123,1.0,99.721,1122.378,1.0,100.445,1243.767,1.0,108.437,1364.782,1.0,115.667,1453.684,1.0
52,140.326,308.407,1.0,127.001,419.213,1.0,119.887,527.944,1.0,105.769,663.028,1.0,101.919,785.777,1.0,101.136,860.45,0.9620000123977661,99.157,1013.385,1.0,99.504,1122.295,1.0,100.693,1243.295,1.0,105.191,1358.336,1.0,115.49,1453.604,1.0
53,140.245,308.691,1.0,127.705,416.829,1.0,118.697,525.04,1.0,106.619,661.473,1.0,101.925,786.186,1.0,101.145,860.772,0.9890000224113464,99.072,1013.502,1.0,99.454,1122.633,1.0,100.658,1243.494,1.0,105.407,1358.119,1.0,115.881,1453.846,1.0
