scorer,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
28,139.885,324.081,0.9919999837875366,123.701,420.133,0.9959999918937683,115.559,523.525,0.9990000128746033,107.735,643.4,0.9919999837875366,99.758,772.101,0.9990000128746033,92.623,892.264,0.9869999885559082,92.275,1012.226,0.9980000257492065,99.084,1124.259,0.9990000128746033,98.847,1251.673,0.9980000257492065,106.732,1355.776,0.9909999966621399,115.23,1436.503,0.9959999918937683
29,139.871,323.976,0.9959999918937683,123.729,420.211,0.996999979019165,115.573,523.605,0.9990000128746033,107.786,643.641,0.9929999709129333,99.71,772.118,0.9990000128746033,100.054,892.17,0.996999979019165,99.382,1011.971,0.9990000128746033,99.056,1124.23,0.9990000128746033,98.799,1251.84,0.9990000128746033,106.848,1355.782,0.9919999837875366,108.017,1436.334,0.9869999885559082
30,139.847,324.027,0.9959999918937683,123.735,427.876,0.9879999756813049,115.6,523.639,0.9990000128746033,107.8,643.783,0.9929999709129333,99.875,772.416,0.9990000128746033,92.615,892.261,0.9879999756813049,99.343,1011.834,0.9990000128746033,98.963,1124.294,0.9990000128746033,98.985,1252.024,0.9990000128746033,106.801,1355.786,0.9919999837875366,115.196,1436.426,0.9959999918937683
31,139.849,324.039,0.9929999709129333,123.74,427.862,0.9879999756813049,115.584,523.56,0.9990000128746033,107.808,643.785,0.9919999837875366,99.825,772.074,0.9990000128746033,92.695,892.257,0.9869999885559082,99.286,1011.917,0.9990000128746033,98.837,1124.12,0.9990000128746033,99.011,1251.934,0.9990000128746033,106.707,1355.786,0.9919999837875366,115.186,1436.483,0.9959999918937683
32,139.872,324.002,0.9940000176429749,123.723,420.256,0.996999979019165,115.574,523.584,0.9990000128746033,107.835,643.952,0.9909999966621399,99.836,772.188,0.9990000128746033,100.096,892.178,0.996999979019165,91.916,1011.95,0.996999979019165,98.799,1124.256,0.9990000128746033,99.051,1251.928,0.9990000128746033,106.754,1355.772,0.9919999837875366,107.911,1436.375,0.9869999885559082
33,139.867,324.048,0.9959999918937683,123.784,420.229,0.996999979019165,115.552,523.522,0.9990000128746033,107.846,651.798,0.9789999723434448,99.89,772.109,0.9990000128746033,100.264,892.264,0.9959999918937683,91.934,1011.928,0.996999979019165,98.902,1124.247,0.9990000128746033,99.156,1251.877,0.9990000128746033,106.799,1355.782,0.9919999837875366,107.924,1436.369,0.9869999885559082
34,139.892,324.161,0.9940000176429749,123.754,420.132,0.9959999918937683,115.528,523.536,0.9990000128746033,107.745,643.635,0.9929999709129333,99.872,771.94,0.9990000128746033,100.033,899.752,0.9980000257492065,91.946,1011.898,0.996999979019165,99.011,1124.471,0.9980000257492065,99.107,1251.946,0.9990000128746033,106.781,1355.77,0.9919999837875366,107.894,1436.339,0.9869999885559082
35,139.913,324.064,0.9950000047683716,123.712,427.928,0.984000027179718,115.569,523.506,0.9990000128746033,107.772,643.694,0.9919999837875366,99.828,771.863,0.9990000128746033,100.016,899.793,0.996999979019165,91.956,1011.906,0.996999979019165,99.009,1124.454,0.9980000257492065,99.112,1251.881,0.9990000128746033,106.777,1355.759,0.9919999837875366,107.912,1436.364,0.9869999885559082
36,139.912,323.974,0.9919999837875366,123.712,427.932,0.9779999852180481,115.554,523.517,0.9990000128746033,107.866,643.91,0.9900000095367432,99.803,771.903,0.9990000128746033,100.0,899.834,0.996999979019165,91.984,1011.953,0.996999979019165,99.0,1124.438,0.9980000257492065,99.068,1252.023,0.9990000128746033,106.837,1355.755,0.9919999837875366,107.869,1436.343,0.9860000014305115
37,139.912,323.838,0.9919999837875366,123.814,420.3,0.9890000224113464,115.588,523.561,0.9990000128746033,107.853,643.861,0.9900000095367432,99.881,772.104,0.9990000128746033,99.949,899.924,0.9980000257492065,92.098,1012.032,0.996999979019165,98.902,1124.33,0.9980000257492065,99.116,1251.928,0.9990000128746033,106.905,1355.75,0.9919999837875366,107.901,1436.376,0.9869999885559082
