scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
34,1.1801260336737995,1.0,1.683661720046841,1.0,0.2524930321546947,1.0,1.5736897201818436,1.0,1.1024502578793856,1.0,0.4458429642968735,1.0,1.2012498093640194,1.0,1.4572584500249701,1.0,1.7091865613412365,1.0,0.7984506556194542,1.0,0.6496434669921486,1.0,2.495263363944034,1.0
35,1.6262385158680608,1.0,1.7764028694266725,1.0,1.148189985156297,1.0,1.904052885939697,1.0,1.6904074620421519,1.0,0.3609744091441801,1.0,0.8965851039699204,1.0,1.0999661952520778,1.0,0.5432034373649204,1.0,0.7332450053189588,1.0,0.31856743437639995,1.0,2.4620839999789004,1.0
36,0.9101606844988289,1.0,1.4683993361388061,1.0,1.4016093183555915,1.0,1.8828524217319242,1.0,1.548633985723079,1.0,0.9827833493499175,1.0,0.5614299676893537,1.0,1.4773414681846793,1.0,0.1607547708327658,1.0,1.2499939588107838,1.0,0.6432062556113429,1.0,2.424122514483054,1.0
37,1.6795889359224239,1.0,2.1019262926727267,1.0,0.6317399235794598,1.0,0.9980726649658213,1.0,1.4413636758486605,1.0,1.5473217729220505,1.0,0.9072261179671597,1.0,1.194416526745108,1.0,0.955598903995664,1.0,1.3991648661860414,1.0,0.3757488465232166,1.0,3.143268228243798,1.0
38,2.05382038838344,1.0,3.498450288356715,1.0,0.5750173445753042,1.0,1.2828645799029643,1.0,1.1107357144472807,1.0,1.1093860355002665,1.0,0.9094982376200529,1.0,1.5102623974302445,1.0,1.1508322117366716,1.0,1.0509469118438275,1.0,0.032970980434993365,1.0,2.6095167328794004,1.0
39,1.1780647465412775,1.0,3.536231120468408,1.0,0.6088029770743906,1.0,0.3774579125044341,1.0,1.3082291610514774,1.0,1.3153821246571518,1.0,1.4520807989603322,1.0,0.9241735808523273,1.0,1.2124965596526898,1.0,1.6048986776133056,1.0,0.24768542899684393,1.0,2.9688638415187776,1.0
40,1.0358987853908852,1.0,2.3851271077402143,1.0,0.4816917452402547,1.0,0.8522043415872077,1.0,1.403357786226718,1.0,1.3806454292680317,1.0,1.1183217348892585,1.0,0.6273894586098402,1.0,0.39827185638837004,1.0,0.7418727640371042,1.0,0.5072797514536734,1.0,2.88417410481311,1.0
41,1.7372783907281062,1.0,2.649009511583829,1.0,1.827728649490314,1.0,1.7248547178704956,1.0,1.141072980807736,1.0,1.112592038861725,1.0,1.1738081024404081,1.0,0.9803884731808198,1.0,0.7183472040216408,1.0,0.9503234762993846,1.0,0.8686937579104232,1.0,3.015355110543212,1.0
42,2.0387565929811555,1.0,2.3214762101199344,1.0,1.201181039790518,1.0,1.3205101680160596,1.0,1.0905865226108944,1.0,1.0474398648152106,1.0,1.0423334378317244,1.0,0.9289898740801801,1.0,1.477196759877961,1.0,0.7532144603723875,1.0,0.8565907356347656,1.0,2.9301886039191047,1.0
43,2.2290354806244093,1.0,2.615528461278812,1.0,1.8889035137038448,1.0,1.670088880067934,1.0,0.8511406899373609,1.0,0.9107868395093579,1.0,1.7867266694384176,1.0,1.0374082733167203,1.0,0.4059341694607809,1.0,1.2683823292584089,1.0,0.5006875231358194,1.0,3.8167606666072484,1.0
