scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
59,1.7618193537410842,1.0,1.4663482014155915,1.0,1.3045096285978846,1.0,0.46529090149717217,1.0,2.470174896113699,1.0,2.5854284694592704,1.0,0.7406527767783744,1.0,2.550605495365112,1.0,3.4793394630728103,1.0,1.2999110112881986,1.0,1.0076627305129073,1.0,4.302778255119337,1.0
60,1.89060998030504,1.0,2.0591695697294647,1.0,1.5474530679570917,1.0,1.3147031008521914,1.0,2.598620707099079,1.0,1.6416112286321949,1.0,1.199555873900143,1.0,2.419747922662049,1.0,1.8269981309169552,1.0,1.5682274533122835,1.0,1.4092824639406565,1.0,4.687684744602146,1.0
61,2.130445790534976,1.0,3.6263018470713377,1.0,2.586534938688521,1.0,1.9878976967578705,1.0,2.916917556801119,1.0,1.691259984334752,1.0,3.8559206363393037,1.0,2.3310281687274785,1.0,3.5373465373022746,1.0,1.2818420181801429,1.0,1.6406439172535636,1.0,3.5207281477385055,1.0
62,1.6581959356421612,1.0,3.5410032317250293,1.0,1.2319771426970225,1.0,2.7631538390023507,1.0,2.005431851207265,1.0,2.131698447102652,1.0,0.2883316131215258,1.0,2.7729571999768012,1.0,3.357214560853811,1.0,2.2852252048618036,1.0,3.594752617432102,1.0,3.924597468082457,1.0
63,2.3779173886725453,1.0,3.250244924304262,1.0,2.400904809892072,1.0,2.303657326049243,1.0,2.313987577860417,1.0,1.28129317140687,1.0,2.637193211168388,1.0,2.4668013839665823,1.0,4.198237131438708,1.0,1.7780360712328158,1.0,2.8458971039721512,1.0,0.2264952218141244,1.0
64,2.012372979676819,1.0,3.6795850267697965,1.0,2.1963315932704726,1.0,2.861150837891843,1.0,2.053440693366378,1.0,2.2270298147193253,1.0,3.424260155280011,1.0,3.3601234748151585,1.0,4.838938206939399,1.0,2.3030966633288177,1.0,1.7591817917111021,1.0,3.008393034949767,1.0
65,1.5583504188833395,1.0,1.7389044649766279,1.0,2.635650544323107,1.0,0.5780881985233854,1.0,1.8140697544860496,1.0,2.5270874910967325,1.0,2.8479701541344786,1.0,1.5511060185244374,1.0,3.818328201482964,1.0,3.255886735610647,1.0,2.2120434673082414,1.0,2.426986588728389,1.0
66,2.2051983144831606,1.0,1.4408564485323343,1.0,3.4321798328782975,1.0,1.4159230832201344,1.0,2.417171155467118,1.0,1.6879889613985566,1.0,2.375536693058389,1.0,0.9787696897437435,1.0,3.519238228286458,1.0,3.948185353022182,1.0,1.5823635804700809,1.0,3.2236860087745103,1.0
67,1.6777103826579438,1.0,2.0769144776280077,1.0,3.0354373028249615,1.0,1.0685341268619997,1.0,2.248771794268583,1.0,2.915166519883854,1.0,3.351902146697216,1.0,2.127654054761497,1.0,3.578217240808061,1.0,1.4650741374678027,1.0,0.8352113112310742,1.0,2.4456776232687027,1.0
68,1.6307038375545184,1.0,2.436672256881467,1.0,3.46262138651137,1.0,1.3022646625274086,1.0,1.645708580553396,1.0,1.3955690791835518,1.0,3.125836087931959,1.0,2.6753338727609726,1.0,3.534186843453771,1.0,2.031071534157865,1.0,1.7203090497628202,1.0,1.85900190159124,1.0
