scorer,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point1,point2,point2,point2,point3,point3,point3,point4,point4,point4,point5,point5,point5,point6,point6,point6,point7,point7,point7,point8,point8,point8,point9,point9,point9,point10,point10,point10,point11,point11,point11,point12,point12,point12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
3529,192.433,51.875,1.0,191.211,65.863,1.0,192.333,80.1,1.0,191.646,96.748,1.0,189.488,112.839,1.0,186.04,128.273,1.0,183.397,143.835,1.0,177.632,157.778,1.0,172.414,174.816,1.0,161.12,191.683,1.0,153.821,204.694,1.0,146.332,216.235,1.0
3530,192.416,52.121,1.0,191.16,65.691,1.0,192.344,79.75,1.0,191.499,97.0,1.0,189.266,113.458,1.0,185.496,128.324,1.0,183.048,144.072,1.0,177.499,157.744,1.0,171.615,174.1,1.0,160.59,191.29,1.0,152.758,205.037,1.0,145.235,216.165,1.0
3531,192.41,51.932,1.0,191.112,65.928,1.0,191.922,79.77,1.0,191.14,96.407,1.0,188.87,112.672,1.0,185.083,127.729,1.0,182.319,143.746,1.0,176.922,157.239,1.0,171.674,174.984,1.0,160.59,191.198,1.0,152.58,205.108,1.0,145.109,216.383,1.0
3532,192.373,52.13,1.0,191.064,65.713,1.0,191.949,79.85,1.0,191.254,96.696,1.0,188.805,112.899,1.0,185.168,127.75,1.0,182.319,143.821,1.0,176.867,157.209,1.0,171.594,174.67,1.0,160.557,190.806,1.0,152.288,204.647,1.0,144.565,216.056,1.0
3533,192.379,52.033,1.0,191.183,65.837,1.0,192.14,79.974,1.0,191.192,96.647,1.0,188.96,113.156,1.0,185.031,128.104,1.0,182.397,144.223,1.0,176.987,157.794,1.0,171.592,174.901,1.0,160.54,191.093,1.0,152.237,204.58,1.0,144.879,215.941,1.0
3534,192.326,51.952,1.0,191.189,66.292,1.0,192.155,80.237,1.0,191.388,96.848,1.0,189.239,113.243,1.0,185.348,128.886,1.0,182.596,144.512,1.0,177.211,158.33,1.0,171.787,175.203,1.0,161.249,191.462,1.0,152.962,205.015,1.0,145.473,216.435,1.0
3535,192.245,52.026,1.0,191.188,66.291,1.0,192.22,80.481,1.0,191.495,97.068,1.0,189.286,113.305,1.0,185.412,128.879,1.0,182.957,144.579,1.0,177.447,158.432,1.0,172.038,175.283,1.0,160.862,191.634,1.0,152.927,204.995,1.0,145.519,216.156,1.0
3536,192.271,52.054,1.0,191.226,66.215,1.0,192.279,80.565,1.0,191.422,97.122,1.0,189.165,113.303,1.0,185.416,129.001,1.0,182.886,144.675,1.0,177.227,158.461,1.0,172.019,175.571,1.0,161.006,191.736,1.0,152.63,204.454,1.0,145.443,215.958,1.0
3537,192.336,52.11,1.0,191.274,66.094,1.0,192.375,80.486,1.0,191.472,97.234,1.0,189.128,113.383,1.0,185.436,129.092,1.0,182.747,144.716,1.0,177.091,158.592,1.0,171.855,175.487,1.0,160.84,191.278,1.0,152.814,204.068,1.0,145.011,215.513,1.0
3538,192.282,51.775,1.0,191.216,66.511,1.0,192.006,80.459,1.0,191.011,96.986,1.0,188.742,113.08,1.0,185.239,128.981,1.0,182.32,144.366,1.0,176.868,158.142,1.0,171.317,175.287,1.0,160.351,190.878,1.0,151.779,204.562,1.0,144.779,214.744,1.0
3539,192.521,51.948,1.0,191.2,65.96,1.0,191.897,80.023,1.0,190.925,96.307,1.0,188.61,112.366,1.0,185.01,128.095,1.0,182.077,144.149,1.0,176.613,157.629,1.0,170.874,174.539,1.0,159.821,190.697,1.0,151.475,204.565,1.0,144.554,214.918,1.0
3540,192.653,52.11,1.0,191.199,65.005,1.0,191.589,80.111,1.0,191.366,96.323,1.0,189.036,112.914,1.0,185.055,127.843,1.0,182.579,144.197,1.0,176.694,158.004,1.0,171.512,175.074,1.0,160.874,191.386,1.0,152.428,204.851,1.0,145.074,216.145,1.0
3541,192.499,51.729,1.0,190.984,65.905,1.0,191.873,79.788,1.0,191.388,96.523,1.0,189.362,112.699,1.0,185.351,128.699,1.0,183.042,144.538,1.0,177.298,158.691,1.0,172.476,176.304,1.0,162.148,192.358,1.0,153.736,204.456,1.0,146.103,216.548,1.0
3542,192.5,51.811,1.0,191.08,65.727,1.0,192.128,79.833,1.0,191.726,96.666,1.0,189.863,113.124,1.0,185.72,128.406,1.0,183.537,144.484,1.0,177.889,158.563,1.0,173.275,175.979,1.0,162.899,192.291,1.0,154.47,204.864,1.0,146.31,216.083,1.0
3543,192.392,51.642,1.0,191.144,65.986,1.0,192.155,80.165,1.0,191.568,96.849,1.0,189.789,113.085,1.0,185.708,128.392,1.0,183.372,144.388,1.0,177.708,158.519,1.0,173.027,175.882,1.0,162.187,192.415,1.0,153.749,204.906,1.0,146.257,216.2,1.0
3544,192.445,51.72,1.0,191.005,65.847,1.0,191.816,79.802,1.0,191.225,96.448,1.0,189.207,112.76,1.0,185.422,128.169,1.0,182.865,144.252,1.0,177.469,157.995,1.0,172.249,174.655,1.0,161.423,191.273,1.0,152.832,204.335,1.0,145.398,215.85,1.0
3545,192.509,51.857,1.0,190.987,65.653,1.0,191.663,79.613,1.0,191.081,96.315,1.0,188.878,112.456,1.0,185.099,127.813,1.0,182.306,144.174,1.0,176.511,157.96,1.0,171.187,174.718,1.0,160.523,190.932,1.0,151.687,205.239,1.0,144.93,215.308,1.0
3546,192.777,52.091,1.0,191.031,65.159,1.0,191.486,79.854,1.0,191.355,96.347,1.0,188.73,112.217,1.0,185.139,128.029,1.0,182.345,144.23,1.0,176.509,158.465,1.0,170.728,175.347,1.0,159.705,190.98,1.0,151.566,204.771,1.0,144.855,214.793,1.0
3547,192.651,51.835,1.0,190.938,65.624,1.0,191.37,79.95,1.0,191.312,96.108,1.0,188.925,112.082,1.0,185.476,127.931,1.0,182.463,144.085,1.0,176.707,158.207,1.0,171.023,175.133,1.0,159.999,191.3,1.0,151.611,204.756,1.0,145.067,215.103,1.0
3548,192.753,51.861,1.0,191.14,65.192,1.0,191.593,79.863,1.0,191.458,95.86,1.0,189.051,112.002,1.0,185.772,128.08,1.0,183.061,144.105,1.0,177.13,158.172,1.0,172.069,175.347,1.0,161.176,191.488,1.0,152.884,204.255,1.0,145.047,215.892,1.0
3549,192.698,51.849,1.0,191.326,65.189,1.0,191.78,80.037,1.0,192.04,95.976,1.0,189.744,112.034,1.0,186.164,127.757,1.0,183.496,143.827,1.0,178.058,157.938,1.0,173.158,174.804,1.0,162.02,191.652,1.0,153.549,204.371,1.0,145.892,216.156,1.0
3550,192.681,51.955,1.0,191.229,65.291,1.0,191.636,79.989,1.0,191.917,96.079,1.0,189.583,112.042,1.0,186.092,128.08,1.0,183.397,144.186,1.0,177.988,158.241,1.0,173.292,175.279,1.0,162.55,191.652,1.0,154.42,203.826,1.0,146.464,216.351,1.0
3551,192.75,51.917,1.0,191.212,65.056,1.0,191.566,79.769,1.0,191.499,95.832,1.0,189.458,111.911,1.0,185.952,127.722,1.0,183.522,144.095,1.0,178.033,158.397,1.0,173.348,175.468,1.0,162.472,191.887,1.0,154.481,203.812,1.0,146.419,215.84,1.0
3552,192.267,51.722,1.0,190.948,65.514,1.0,191.968,79.645,1.0,190.909,96.755,1.0,189.184,113.525,1.0,184.849,128.398,1.0,182.249,144.479,1.0,176.476,158.325,1.0,170.63,174.883,1.0,160.019,191.064,1.0,151.948,204.764,1.0,144.326,215.438,1.0
3553,192.297,51.479,1.0,190.974,65.846,1.0,192.009,79.898,1.0,191.22,96.699,1.0,189.31,113.243,1.0,185.005,128.857,1.0,182.283,144.577,1.0,176.696,158.595,1.0,170.985,175.589,1.0,160.133,191.355,1.0,151.704,205.034,1.0,145.116,215.297,1.0
3554,192.43,51.55,1.0,191.048,65.552,1.0,191.573,80.138,1.0,191.38,96.38,1.0,189.206,112.833,1.0,185.185,128.907,1.0,182.178,144.736,1.0,176.73,158.746,1.0,171.234,175.552,1.0,160.571,191.343,1.0,152.44,204.429,1.0,145.028,215.939,1.0
3555,192.352,51.528,1.0,190.937,65.661,1.0,191.475,80.189,1.0,191.219,96.553,1.0,189.228,113.234,1.0,185.131,128.931,1.0,182.447,144.737,1.0,176.835,158.731,1.0,171.739,175.689,1.0,160.748,191.564,1.0,152.598,204.095,1.0,145.344,215.721,1.0
3556,192.376,51.55,1.0,191.013,65.823,1.0,191.478,80.219,1.0,191.229,96.773,1.0,189.518,113.624,1.0,185.244,128.929,1.0,182.93,144.662,1.0,177.306,158.647,1.0,172.143,175.305,1.0,161.016,191.648,1.0,152.79,203.993,1.0,145.462,215.88,1.0
3557,192.262,51.458,1.0,190.964,66.296,1.0,191.663,80.21,1.0,190.536,97.039,1.0,188.853,113.901,1.0,184.704,129.482,1.0,182.097,142.851,1.0,177.066,158.828,1.0,171.861,175.831,1.0,161.174,192.031,1.0,153.21,205.1,1.0,145.85,216.986,1.0
3558,192.699,51.918,1.0,191.175,64.983,1.0,191.657,79.808,1.0,191.205,96.538,1.0,189.387,113.757,1.0,185.066,128.737,1.0,183.132,144.813,1.0,177.133,158.824,1.0,171.975,175.62,1.0,161.108,191.894,1.0,153.305,204.771,1.0,145.85,216.504,1.0
3559,192.38,51.764,1.0,191.022,65.61,1.0,191.904,79.672,1.0,191.102,96.787,1.0,189.294,113.884,1.0,185.309,129.288,1.0,183.094,144.753,1.0,177.106,158.689,1.0,171.583,174.888,1.0,160.879,191.538,1.0,152.715,205.052,1.0,145.353,216.283,1.0
3560,192.254,51.656,1.0,191.005,66.073,1.0,191.856,80.157,1.0,190.774,97.131,1.0,188.611,114.109,1.0,184.946,129.499,1.0,182.27,144.789,1.0,176.674,158.706,1.0,170.834,174.852,1.0,160.144,191.513,1.0,151.661,205.579,1.0,144.837,215.959,1.0
3561,192.226,51.596,1.0,191.008,66.1,1.0,191.733,80.321,1.0,190.564,97.096,1.0,188.776,113.949,1.0,184.987,129.313,1.0,182.075,144.766,1.0,176.661,158.57,1.0,170.859,174.289,1.0,160.29,190.66,1.0,151.98,204.633,1.0,144.219,215.665,1.0
3562,192.406,51.814,1.0,191.015,65.894,1.0,191.748,79.818,1.0,190.704,96.818,1.0,188.673,113.447,1.0,184.672,128.644,1.0,182.091,144.508,1.0,176.582,158.239,1.0,171.057,174.357,1.0,160.409,191.09,1.0,152.501,205.077,1.0,145.179,216.254,1.0
3563,192.349,51.668,1.0,190.942,65.892,1.0,191.671,79.967,1.0,190.841,96.696,1.0,189.089,113.274,1.0,185.609,128.822,1.0,183.163,144.384,1.0,177.794,158.143,1.0,172.607,174.653,1.0,161.602,191.238,1.0,153.599,203.587,1.0,145.805,216.146,1.0
3564,192.398,51.74,1.0,191.151,65.814,1.0,192.12,80.427,1.0,191.21,96.886,1.0,189.265,113.508,1.0,185.271,129.408,1.0,182.501,144.952,1.0,176.796,158.92,1.0,171.9,175.917,1.0,161.766,191.923,1.0,154.103,203.933,1.0,146.068,216.309,1.0
3565,192.48,51.931,1.0,191.194,65.581,1.0,192.171,80.15,1.0,191.354,96.768,1.0,189.352,113.472,1.0,185.337,129.54,1.0,182.077,142.67,1.0,176.655,159.193,1.0,171.723,176.237,1.0,161.741,191.906,1.0,153.743,204.329,1.0,145.408,215.637,1.0
3566,192.412,51.982,1.0,191.196,65.676,1.0,192.035,80.254,1.0,191.141,96.761,1.0,189.05,113.323,1.0,185.15,128.928,1.0,182.647,144.65,1.0,176.865,158.781,1.0,171.817,176.048,1.0,161.249,191.43,1.0,153.186,203.879,1.0,145.216,215.749,1.0
3567,192.341,51.804,1.0,191.159,65.925,1.0,192.036,80.274,1.0,191.03,96.875,1.0,188.939,113.407,1.0,184.915,128.859,1.0,182.399,144.509,1.0,176.738,158.513,1.0,171.663,175.461,1.0,160.99,191.199,1.0,152.687,204.191,1.0,144.986,215.775,1.0
3568,192.406,51.814,1.0,191.219,65.826,1.0,192.05,80.157,1.0,191.083,96.738,1.0,188.843,113.163,1.0,185.124,128.907,1.0,182.367,144.574,1.0,176.684,158.524,1.0,171.185,175.67,1.0,160.448,191.242,1.0,152.543,204.463,1.0,144.836,215.36,1.0
3569,192.447,51.832,1.0,191.203,65.89,1.0,191.925,80.054,1.0,191.009,96.678,1.0,188.776,112.974,1.0,185.189,128.593,1.0,182.432,144.429,1.0,176.816,158.385,1.0,171.914,175.862,1.0,160.993,191.232,1.0,153.104,204.441,1.0,145.245,215.884,1.0
3570,192.372,51.707,1.0,191.051,66.159,1.0,191.853,80.044,1.0,191.06,96.877,1.0,189.14,113.175,1.0,185.205,128.616,1.0,182.758,144.321,1.0,177.185,158.12,1.0,172.383,175.159,1.0,161.715,191.195,1.0,153.602,204.246,1.0,145.558,216.039,1.0
3571,192.365,51.651,1.0,190.926,66.125,1.0,191.778,79.871,1.0,191.172,96.747,1.0,189.335,113.103,1.0,185.407,129.021,1.0,183.114,144.524,1.0,177.295,158.819,1.0,172.787,175.953,1.0,161.888,191.409,1.0,153.864,203.894,1.0,145.601,216.029,1.0
3572,192.378,51.681,1.0,190.89,65.895,1.0,191.826,79.669,1.0,191.344,96.622,1.0,189.342,112.898,1.0,185.506,128.874,1.0,183.129,144.427,1.0,177.196,158.476,1.0,172.12,175.37,1.0,160.941,191.632,1.0,152.799,204.217,1.0,145.25,215.629,1.0
3573,192.459,51.721,1.0,190.967,65.763,1.0,191.347,80.274,1.0,191.315,96.522,1.0,189.266,112.923,1.0,185.456,128.623,1.0,182.951,144.218,1.0,176.968,158.353,1.0,171.551,174.861,1.0,160.468,191.242,1.0,151.957,205.059,1.0,144.643,215.874,1.0
3574,192.603,51.993,1.0,190.892,65.549,1.0,191.376,80.077,1.0,190.978,96.211,1.0,188.65,112.552,1.0,184.983,128.266,1.0,182.256,144.36,1.0,176.588,158.284,1.0,171.04,174.813,1.0,160.391,190.893,1.0,151.959,204.912,1.0,144.852,215.745,1.0
3575,192.689,52.023,1.0,191.079,65.273,1.0,191.6,80.04,1.0,191.448,96.136,1.0,189.155,112.496,1.0,185.255,128.1,1.0,182.547,144.322,1.0,176.592,158.494,1.0,170.923,175.285,1.0,160.117,191.319,1.0,151.771,205.358,1.0,144.798,215.687,1.0
3576,192.81,51.903,1.0,191.083,65.26,1.0,191.667,79.905,1.0,191.305,96.351,1.0,189.151,113.114,1.0,185.066,128.668,1.0,183.006,144.473,1.0,176.806,158.537,1.0,171.717,175.605,1.0,160.597,191.329,1.0,152.608,203.897,1.0,144.531,215.158,1.0
3577,192.786,52.01,1.0,191.116,65.24,1.0,191.789,80.035,1.0,191.351,96.671,1.0,189.11,113.232,1.0,185.092,128.613,1.0,183.106,144.52,1.0,177.012,158.755,1.0,172.526,175.648,1.0,161.307,191.303,1.0,152.663,203.957,1.0,144.758,215.486,1.0
3578,192.702,52.037,1.0,191.0,65.402,1.0,191.581,80.151,1.0,191.313,96.643,1.0,189.081,113.284,1.0,184.978,128.572,1.0,183.004,144.459,1.0,176.976,158.534,1.0,172.05,175.448,1.0,160.94,191.228,1.0,152.442,204.239,1.0,144.586,215.373,1.0
3579,192.825,51.983,1.0,190.984,65.326,1.0,191.605,79.97,1.0,191.438,96.481,1.0,189.125,112.899,1.0,185.235,128.5,1.0,183.011,144.381,1.0,176.94,158.472,1.0,171.871,175.412,1.0,160.708,191.109,1.0,152.174,204.349,1.0,144.292,215.137,1.0
3580,192.745,51.908,1.0,191.01,65.417,1.0,191.547,80.103,1.0,191.4,96.586,1.0,188.983,113.094,1.0,185.259,128.735,1.0,182.656,144.465,1.0,176.607,158.522,1.0,171.233,175.096,1.0,160.462,190.423,1.0,152.02,204.275,1.0,145.153,214.889,1.0
3581,192.856,51.866,1.0,191.053,65.341,1.0,191.601,80.016,1.0,191.498,96.462,1.0,189.224,113.024,1.0,185.193,128.437,1.0,182.689,144.413,1.0,176.627,158.406,1.0,171.103,175.019,1.0,160.288,190.578,1.0,151.94,204.286,1.0,145.088,214.754,1.0
3582,192.604,51.752,1.0,190.897,66.038,1.0,191.641,79.806,1.0,191.304,96.492,1.0,188.964,112.57,1.0,185.278,128.589,1.0,182.768,144.363,1.0,176.856,158.559,1.0,171.123,175.748,1.0,160.163,191.248,1.0,152.023,204.639,1.0,145.03,215.373,1.0
3583,192.663,51.912,1.0,190.985,65.644,1.0,191.584,80.132,1.0,191.631,96.452,1.0,189.29,112.667,1.0,185.272,128.598,1.0,182.869,144.407,1.0,176.849,158.495,1.0,171.161,175.113,1.0,160.425,191.204,1.0,152.039,204.868,1.0,144.537,215.801,1.0
3584,192.769,52.095,1.0,191.173,65.214,1.0,191.818,79.973,1.0,191.796,96.719,1.0,189.563,113.335,1.0,185.282,128.769,1.0,183.117,144.63,1.0,176.986,158.794,1.0,171.971,175.498,1.0,161.153,191.354,1.0,152.787,204.528,1.0,145.18,215.897,1.0
3585,192.953,52.132,1.0,191.154,64.869,1.0,191.823,79.59,1.0,191.818,96.13,1.0,189.529,112.707,1.0,185.255,128.693,1.0,183.004,144.732,1.0,176.887,158.965,1.0,171.772,175.61,1.0,161.171,191.461,1.0,152.794,205.1,1.0,145.203,216.039,1.0
3586,192.715,52.027,1.0,191.138,65.371,1.0,191.651,80.094,1.0,191.728,96.713,1.0,189.622,113.48,1.0,185.341,128.934,1.0,182.895,144.705,1.0,176.929,158.913,1.0,171.419,175.171,1.0,160.536,191.356,1.0,152.883,204.109,1.0,145.022,215.687,1.0
3587,192.758,51.918,1.0,191.079,65.484,1.0,191.62,79.972,1.0,191.692,96.46,1.0,189.423,112.897,1.0,185.092,128.71,1.0,182.688,144.661,1.0,176.886,158.951,1.0,171.298,175.448,1.0,160.636,191.47,1.0,152.505,204.617,1.0,144.89,215.721,1.0
3588,192.342,51.989,1.0,190.922,65.605,1.0,191.641,80.026,1.0,191.014,96.304,1.0,189.096,112.906,1.0,185.128,128.445,1.0,182.981,144.389,1.0,176.99,158.4,1.0,171.789,175.376,1.0,161.052,191.38,1.0,153.186,204.378,1.0,145.062,216.057,1.0
3589,192.383,51.928,1.0,190.93,65.669,1.0,191.647,79.931,1.0,190.986,96.41,1.0,189.035,113.141,1.0,185.162,129.181,1.0,182.879,144.683,1.0,176.866,158.694,1.0,171.838,175.605,1.0,161.077,191.305,1.0,153.398,204.172,1.0,145.131,216.059,1.0
3590,192.388,51.95,1.0,191.029,65.826,1.0,191.639,79.998,1.0,190.912,96.508,1.0,189.054,113.114,1.0,185.069,128.897,1.0,182.924,144.574,1.0,177.025,158.65,1.0,171.873,175.608,1.0,161.048,191.341,1.0,153.382,204.19,1.0,145.086,215.996,1.0
3591,192.28,51.885,1.0,191.024,66.055,1.0,191.631,80.151,1.0,190.837,96.556,1.0,188.73,112.803,1.0,185.15,128.414,1.0,182.779,144.166,1.0,177.107,158.008,1.0,171.53,175.086,1.0,160.521,191.157,1.0,152.825,204.132,1.0,144.909,215.601,1.0
3592,192.415,51.977,1.0,191.002,65.924,1.0,191.573,79.968,1.0,190.863,96.485,1.0,188.72,112.809,1.0,185.252,128.358,1.0,182.935,144.104,1.0,176.961,157.99,1.0,171.537,175.033,1.0,160.391,191.182,1.0,152.815,204.375,1.0,144.808,215.702,1.0
3593,192.517,52.075,1.0,191.025,65.583,1.0,191.601,79.901,1.0,191.034,96.297,1.0,188.755,112.624,1.0,185.276,128.232,1.0,183.013,144.106,1.0,177.005,158.131,1.0,172.002,175.453,1.0,161.066,191.702,1.0,152.823,204.763,1.0,145.606,216.075,1.0
3594,192.411,51.856,1.0,191.033,66.011,1.0,191.705,80.16,1.0,190.964,96.675,1.0,189.042,113.351,1.0,185.195,128.907,1.0,183.12,144.691,1.0,177.433,158.52,1.0,172.599,175.572,1.0,161.832,191.774,1.0,154.13,204.249,1.0,146.397,216.058,1.0
3595,192.426,51.952,1.0,191.054,65.986,1.0,191.795,80.194,1.0,191.07,96.819,1.0,189.024,113.453,1.0,185.23,129.163,1.0,182.529,142.818,1.0,177.399,158.971,1.0,172.6,176.086,1.0,161.738,192.051,1.0,154.059,204.304,1.0,146.205,216.199,1.0
3596,192.439,52.044,1.0,191.008,65.872,1.0,191.774,80.093,1.0,191.026,96.875,1.0,188.891,113.422,1.0,184.922,129.342,1.0,181.87,142.539,1.0,176.735,159.249,1.0,171.757,176.314,1.0,161.43,191.795,1.0,153.233,204.487,1.0,145.104,215.901,1.0
3597,192.405,51.94,1.0,190.933,65.97,1.0,191.636,80.142,1.0,191.066,96.55,1.0,188.778,112.83,1.0,184.976,129.014,1.0,182.556,144.92,1.0,176.816,159.036,1.0,171.388,176.028,1.0,161.238,191.509,1.0,152.536,204.294,1.0,144.419,215.453,1.0
3598,192.395,51.889,1.0,190.912,66.09,1.0,191.391,80.04,1.0,190.78,96.442,1.0,188.611,112.498,1.0,184.502,128.497,1.0,181.938,144.527,1.0,176.667,158.52,1.0,171.312,175.721,1.0,161.066,191.439,1.0,152.536,204.629,1.0,144.571,215.839,1.0
3599,192.329,51.907,1.0,190.917,66.014,1.0,191.599,80.016,1.0,191.015,96.468,1.0,188.915,112.939,1.0,184.889,128.732,1.0,182.453,144.696,1.0,176.779,158.711,1.0,171.595,175.622,1.0,160.896,191.102,1.0,152.677,204.31,1.0,144.564,215.618,1.0
3600,192.548,51.9,1.0,191.229,65.961,1.0,191.894,80.354,1.0,191.646,96.489,1.0,189.39,112.428,1.0,185.548,128.824,1.0,182.845,144.369,1.0,177.001,158.462,1.0,171.956,175.792,1.0,161.247,191.635,1.0,153.418,203.324,1.0,145.634,215.373,1.0
3601,192.526,51.934,1.0,191.228,65.846,1.0,192.05,80.033,1.0,191.479,96.654,1.0,189.353,113.122,1.0,185.335,129.029,1.0,183.118,144.575,1.0,177.225,158.445,1.0,172.373,175.937,1.0,161.841,191.825,1.0,153.89,203.68,1.0,145.886,215.985,1.0
3602,192.73,52.107,1.0,191.3,65.333,1.0,191.672,80.109,1.0,191.739,96.506,1.0,189.524,112.948,1.0,185.41,128.456,1.0,183.432,144.508,1.0,177.563,158.285,1.0,172.699,175.956,1.0,161.987,192.004,1.0,153.667,204.187,1.0,145.793,215.957,1.0
3603,192.806,52.206,1.0,191.307,65.234,1.0,191.662,79.958,1.0,191.744,96.314,1.0,189.464,112.668,1.0,185.399,128.327,1.0,183.358,144.466,1.0,177.179,158.378,1.0,172.142,175.724,1.0,161.267,191.686,1.0,153.36,203.334,1.0,145.493,215.431,1.0
3604,192.62,52.039,1.0,191.211,65.467,1.0,191.588,80.102,1.0,191.675,96.478,1.0,189.598,113.127,1.0,185.266,128.374,1.0,183.192,144.412,1.0,177.093,158.216,1.0,171.499,175.323,1.0,160.151,191.052,1.0,152.322,203.865,1.0,144.518,215.305,1.0
3605,192.799,52.164,1.0,191.205,65.113,1.0,191.651,79.778,1.0,191.253,95.904,1.0,188.94,112.531,1.0,184.962,128.149,1.0,182.423,144.406,1.0,176.676,157.971,1.0,170.456,174.734,1.0,159.772,190.501,1.0,151.892,204.38,1.0,144.916,214.939,1.0
3606,192.853,52.037,1.0,191.175,65.132,1.0,191.644,79.547,1.0,191.456,95.812,1.0,189.143,112.417,1.0,185.276,128.399,1.0,182.461,144.419,1.0,176.643,158.13,1.0,170.552,174.968,1.0,159.726,190.742,1.0,151.54,204.743,1.0,144.96,214.845,1.0
3607,192.868,52.143,1.0,191.2,65.054,1.0,191.66,79.615,1.0,191.55,96.116,1.0,189.346,112.846,1.0,185.218,128.684,1.0,182.715,144.752,1.0,176.861,158.91,1.0,171.522,176.088,1.0,160.743,191.473,1.0,152.342,204.959,1.0,145.303,215.608,1.0
3608,192.917,52.139,1.0,191.429,64.902,1.0,191.874,79.654,1.0,191.9,95.951,1.0,190.42,112.978,1.0,186.348,127.87,1.0,183.854,144.263,1.0,177.874,158.327,1.0,172.291,175.232,1.0,160.657,190.426,1.0,151.862,203.279,1.0,144.222,213.843,1.0
3609,192.502,51.853,1.0,190.95,65.884,1.0,191.279,80.193,1.0,191.185,96.737,1.0,189.073,113.643,1.0,184.683,128.873,1.0,181.87,144.898,1.0,176.315,158.408,1.0,169.498,174.829,1.0,160.908,191.163,1.0,150.896,202.716,1.0,141.728,214.435,1.0
3610,192.602,51.939,1.0,191.054,65.622,1.0,191.422,80.126,1.0,190.95,96.419,1.0,188.702,113.857,1.0,183.849,128.675,1.0,181.137,144.694,1.0,176.858,160.29,1.0,167.967,173.881,1.0,159.506,190.775,1.0,148.724,201.264,1.0,138.904,212.352,1.0
3611,192.845,52.111,1.0,191.11,65.388,1.0,191.475,79.717,1.0,190.748,95.949,1.0,188.179,112.776,1.0,183.531,128.284,1.0,180.792,144.56,1.0,176.147,159.659,1.0,169.261,172.699,1.0,157.765,189.358,1.0,146.992,199.605,1.0,137.294,211.162,1.0
3612,192.887,52.035,1.0,191.224,64.726,1.0,191.843,79.664,1.0,190.777,96.171,1.0,188.405,113.236,1.0,183.478,128.212,1.0,181.299,144.509,1.0,177.254,160.43,1.0,169.374,174.79,1.0,159.698,190.186,1.0,150.026,202.124,1.0,140.71,213.68,1.0
